sample,t_outer,t_inner_side,t_inner_middle,height,width,sigma0,youngs
  1,2.66,2.13,1.78,76.33,127.28,263.39,73878.5
  2,2.86,2.26,1.77,76.15,127.65,282.73,69527.8
  3,2.79,2.07,1.46,76.39,127.30,253.15,69379.0
