outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_mean_force
2.54,2.27,1.4,76.55,127.47,261.95,76315.3,26.78980524579401
2.61,2.22,1.56,75.64,127.23,286.85,70305.3,29.825359497597443
2.65,1.98,1.56,76.28,128.3,267.04,69118.3,28.186914554933306
2.85,2.2,1.38,75.48,128.43,274.82,69063.7,31.56579001711702
2.72,1.89,1.71,75.4,127.55,246.95,66367.1,27.510002326775744
2.7,1.71,1.61,76.2,127.79,269.19,69883.6,28.595313197957804
2.75,2.05,1.77,75.53,127.45,250.0,65851.4,28.8416133614661
2.51,1.87,1.55,75.4,128.2,276.88,75568.0,26.88256460044283
2.87,2.0,1.4,75.61,127.39,248.33,63893.9,28.7967897832259
2.56,2.0,1.22,75.49,127.41,249.75,65758.2,24.247890097902424
2.55,1.88,1.46,75.46,127.63,280.12,73166.3,27.242446786576917
2.81,2.14,1.26,76.05,127.84,292.46,66518.1,31.726303658637786
2.64,1.97,1.73,76.03,128.42,257.2,74179.6,28.139955525564115
2.77,2.12,1.59,76.04,127.67,269.86,76658.1,30.998144254637506
2.6,1.87,1.65,75.45,127.76,274.72,75447.8,28.35079226745324
2.71,2.18,1.74,75.54,128.47,283.4,69284.5,31.581784800703982
2.72,1.99,1.78,75.84,128.6,250.74,75878.7,29.03768928826639
2.89,1.82,1.79,76.25,127.32,269.41,68988.4,32.28391144312229
2.53,2.14,1.71,75.59,127.47,278.76,72359.7,28.540698318204246
2.67,2.08,1.55,75.66,128.51,257.2,65276.0,27.616741404617866
2.6,2.26,1.41,76.08,128.12,253.84,71860.6,26.807405316492346
2.75,2.25,1.65,76.18,128.36,240.51,73744.5,28.725569713685555
2.87,2.2,1.55,76.3,127.44,286.27,66829.6,33.401521155916726
2.55,1.98,1.44,75.86,128.56,276.85,70551.0,27.108628837574198
2.56,1.86,1.63,75.53,128.27,271.18,74644.1,27.385818623598535
2.72,2.15,1.78,76.56,127.96,288.27,65536.3,32.12234613563237
2.72,1.8,1.58,76.41,127.86,266.22,63671.6,28.447904013157196
2.68,2.21,1.37,75.57,128.45,269.09,70624.9,28.7633473255139
2.86,2.12,1.48,75.72,127.21,252.95,75693.6,30.274558644591476
2.85,1.98,1.5,75.46,128.53,252.58,70161.7,29.544097160228258
2.72,1.81,1.39,76.23,127.38,266.41,72275.9,28.229288907649785
2.75,2.17,1.73,75.35,127.54,273.07,74312.6,31.43247750479156
2.69,1.9,1.59,75.24,127.36,282.96,75582.6,30.06070550097888
2.59,2.13,1.48,75.79,127.67,290.83,75346.5,29.60236475111753
2.58,1.73,1.7,75.68,127.61,246.36,73656.6,25.623434979421628
2.73,2.14,1.78,76.31,128.53,266.41,65668.2,30.391962611733103
2.66,2.11,1.51,75.82,128.33,254.46,73971.4,27.731917699534048
2.83,1.89,1.29,75.53,127.28,279.54,69117.4,30.375855101679118
2.63,1.95,1.78,75.38,128.42,241.01,68662.3,26.400716852705724
2.76,2.08,1.28,75.39,128.5,265.91,66315.1,28.68025582754228
2.81,1.88,1.74,75.36,127.34,251.07,72662.5,29.484880757509355
2.59,1.85,1.55,75.75,127.72,254.11,63309.5,25.529544938964133
2.5,1.72,1.22,76.32,128.36,249.71,64836.3,22.79160249169558
2.67,2.02,1.46,75.66,128.47,279.12,76693.8,29.536384713176968
2.81,2.16,1.24,75.44,128.35,245.43,72698.5,28.216398032301864
2.64,2.14,1.57,75.34,128.23,288.75,74562.0,30.467281464031313
2.61,2.13,1.61,76.59,127.9,293.04,74725.4,30.598750953347686
2.58,1.92,1.49,76.43,128.08,278.06,64933.9,27.38016301932407
2.54,1.71,1.45,75.37,127.53,259.28,66710.6,24.653300722287778
2.86,1.87,1.43,76.58,128.0,254.06,76291.2,29.785171063119147
2.66,1.92,1.78,75.4,127.32,249.36,64333.4,27.11293787655529
2.53,1.91,1.69,75.84,127.32,256.05,69988.7,25.939957040561804
2.59,1.87,1.52,75.22,127.85,256.97,66292.0,25.764887609400713
2.51,2.14,1.39,75.53,127.94,251.04,70054.4,24.850115553307315
2.81,1.95,1.63,75.5,127.75,268.6,64069.6,30.321230720016725
2.63,1.81,1.36,76.26,127.92,262.96,70235.4,26.496856562911486
2.87,1.91,1.74,75.82,128.18,282.66,76466.2,33.51985783530802
2.85,1.96,1.3,75.65,128.37,243.15,69445.3,28.063680035448098
2.53,1.71,1.52,75.93,127.93,258.89,67298.7,24.875769555468192
2.72,1.84,1.28,75.72,127.84,270.75,72326.4,28.208171421731773
2.56,1.8,1.49,75.42,127.96,293.05,75011.9,28.345257511038763
2.67,2.0,1.38,76.45,127.56,244.36,63300.0,25.783621303436572
2.75,2.03,1.45,76.57,127.7,271.72,70433.1,29.818715733983023
2.68,1.98,1.75,75.78,127.74,247.11,67920.2,27.564087594046324
2.9,2.13,1.53,76.33,128.08,259.85,74330.7,31.747933495288517
2.84,2.01,1.34,76.51,128.09,276.58,73518.4,31.26199178062131
2.7,2.1,1.37,76.43,128.18,259.84,70284.7,28.037248395768298
2.68,1.95,1.75,75.27,127.33,261.17,69293.8,28.571345468395517
2.79,2.07,1.43,75.97,127.25,260.19,64817.6,29.068018041736305
2.8,2.15,1.39,75.47,127.6,274.43,64402.3,30.365778339636332
2.84,1.75,1.45,75.61,127.81,276.75,72412.5,30.716931818057443
2.84,2.25,1.79,75.49,127.48,263.18,75790.8,32.42214223090957
2.77,1.78,1.71,76.0,127.55,293.54,66182.2,31.90903116171034
2.71,2.03,1.51,76.23,128.53,248.52,63685.6,27.19090015647748
2.52,1.76,1.51,76.57,127.24,282.71,67911.6,26.73462761021528
2.73,1.79,1.47,75.52,128.42,255.43,64567.8,27.15783724801315
2.86,1.76,1.37,76.37,128.17,267.33,71596.6,30.149886683724613
2.64,1.91,1.79,76.3,128.34,288.03,73290.9,30.706205357713312
2.69,1.78,1.55,76.06,128.32,256.42,63897.0,27.01831260776407
2.81,2.26,1.56,75.44,128.12,287.84,70640.2,32.995172827386455
2.67,2.02,1.36,76.52,128.11,251.19,74658.8,26.93105236132089
2.65,1.96,1.25,75.97,127.74,265.07,72927.3,27.071527419491527
2.88,1.71,1.4,75.24,127.32,242.72,69840.3,27.907355851161807
2.54,1.75,1.62,76.57,127.88,269.05,73895.5,26.721944361276652
2.51,1.75,1.36,76.6,127.74,274.75,64295.1,25.225119942355146
2.85,2.15,1.61,75.63,128.1,283.82,68252.3,33.006247264807826
2.79,2.24,1.31,76.58,127.61,275.01,66425.6,30.484685313921428
2.67,1.87,1.58,75.95,127.32,290.38,71127.8,30.154188080587
2.84,2.06,1.3,75.5,127.32,280.45,64259.9,30.825756934888883
2.73,1.95,1.51,75.61,128.43,282.99,72483.4,30.44590242036031
2.64,1.94,1.78,75.59,128.59,281.08,67620.5,29.709107167262456
2.61,1.97,1.64,76.44,128.44,268.67,67746.9,27.95189153565013
2.52,1.86,1.4,75.22,127.66,241.29,75365.6,23.815625100733765
2.57,2.18,1.51,76.13,128.32,247.94,67122.1,25.79215456548229
2.72,2.0,1.5,75.55,127.63,267.23,63370.3,28.55706810661945
2.7,1.94,1.56,76.38,128.25,249.12,70987.4,27.472516099662467
2.65,1.72,1.51,75.5,128.31,266.75,70719.8,27.23439237316995
2.73,1.82,1.46,75.4,128.46,254.59,66982.6,27.253724359140275
2.74,1.89,1.69,75.67,127.22,281.71,73480.9,31.02675081061511
2.53,2.06,1.72,75.79,127.51,291.79,64615.4,28.908322025767344
2.56,2.18,1.33,76.44,127.47,255.98,73803.5,26.011771006936552
2.56,2.05,1.2,75.5,127.41,267.69,65880.9,25.63347139461086
2.86,2.12,1.32,75.77,127.5,241.64,65858.3,28.32767726131703
2.61,1.82,1.46,75.27,127.76,279.71,76633.3,28.05362448426956
2.82,1.86,1.26,76.29,127.51,245.09,74562.2,27.757040440984948
2.51,2.22,1.77,76.06,128.42,256.48,73870.1,27.112533940939098
2.54,1.73,1.24,75.38,128.48,290.77,69129.7,26.436101822219367
2.76,2.05,1.43,76.31,128.5,289.54,70088.7,31.375466603249603
2.63,2.26,1.73,76.44,128.05,264.72,64406.9,28.86387838362759
2.7,2.09,1.3,75.59,128.28,261.9,68603.2,27.77490921708556
2.54,1.76,1.42,75.48,128.28,258.65,70152.4,24.870301618675736
2.61,1.78,1.37,75.65,127.57,287.71,72671.3,28.07025257200746
2.63,2.04,1.53,75.71,127.8,288.62,68971.7,29.564672708148915
2.61,2.03,1.79,76.12,127.84,269.98,70560.9,28.956129835678208
2.51,2.1,1.28,75.33,127.55,262.78,73603.5,25.439261883361947
2.75,2.14,1.55,75.74,127.69,263.1,75709.1,29.97100331314095
2.54,1.92,1.47,76.38,127.98,286.32,68679.3,27.56486565280954
2.7,2.27,1.46,76.22,127.73,291.38,68108.2,31.213021048263496
2.86,2.27,1.22,76.39,128.0,242.26,74334.6,28.998723666085876
2.82,1.82,1.56,75.43,127.57,280.25,65862.8,30.8648817798811
2.57,1.72,1.34,75.77,127.95,242.25,64644.9,23.461384711674324
2.72,1.85,1.3,75.81,127.55,256.28,75227.7,27.332536867485597
2.58,2.07,1.62,75.2,127.54,258.46,63313.7,26.47895965190298
2.82,2.25,1.52,76.5,128.5,261.11,69606.9,30.774252601016197
2.68,2.03,1.44,75.72,127.62,279.17,73435.5,29.430641711002632
2.74,2.03,1.45,75.4,127.71,248.51,74469.8,27.856116793814973
2.51,1.92,1.33,76.18,127.21,254.52,66013.9,24.131422403168582
2.58,2.03,1.69,76.39,128.25,265.58,68251.2,27.658554180842653
2.73,2.19,1.77,76.14,127.48,270.42,71551.4,31.116886522280875
2.69,2.16,1.68,76.56,128.29,253.43,72605.2,28.79434182410716
2.64,2.27,1.2,75.36,127.95,249.8,72254.2,26.40938203998598
2.62,2.04,1.53,76.21,127.74,244.28,68211.5,25.94980247707178
2.72,2.01,1.41,75.89,128.3,255.41,66624.5,27.61026951177291
2.59,1.98,1.55,75.4,127.6,273.7,74626.1,28.00561658301569
2.6,1.8,1.63,75.27,128.15,250.59,72079.3,25.969387308957945
2.79,1.71,1.59,75.45,127.75,269.47,73890.3,29.834354410594184
2.79,1.8,1.2,76.52,128.44,293.49,67195.7,30.499217524447882
2.59,2.01,1.63,76.41,127.52,253.3,76897.4,27.0172577925814
2.66,2.07,1.69,75.95,127.79,242.84,76030.6,27.440680266086925
2.68,1.74,1.42,76.26,128.26,265.16,72282.0,27.525877416060663
2.77,1.79,1.6,76.35,127.62,260.79,76338.4,29.437261875902887
2.85,2.14,1.71,75.77,127.21,258.06,64717.7,30.90626366398362
2.8,1.7,1.68,75.93,128.1,265.76,73437.9,30.122572051403605
2.78,1.83,1.71,76.39,127.72,279.68,70750.1,31.410632673600613
2.66,1.99,1.64,75.35,127.45,279.15,63233.6,29.082711524916927
2.79,2.03,1.51,75.92,128.4,272.36,70081.1,30.606134367549313
2.67,1.91,1.47,76.49,127.38,242.77,65103.6,25.841867269593987
2.6,1.87,1.79,76.55,127.58,241.29,71287.7,26.18554005707244
2.59,1.75,1.33,75.42,127.38,285.18,66192.4,26.926530122487744
2.75,1.96,1.31,75.3,128.4,243.03,63640.2,26.31431430166708
2.59,2.27,1.55,75.24,128.48,261.7,66202.4,27.427942009987984
2.65,1.98,1.79,75.52,127.92,276.47,66165.6,29.53790050232271
2.55,1.9,1.35,75.36,127.73,276.64,74709.7,26.733698480199788
2.74,1.87,1.72,76.38,127.24,292.93,76331.1,32.32153842165201
2.72,2.2,1.56,76.5,127.5,251.37,74112.6,28.734237497596606
2.79,1.95,1.62,75.83,127.49,276.53,63570.2,30.70402428946033
2.52,1.9,1.51,76.05,128.53,253.09,70242.5,24.936427800182738
2.68,2.25,1.64,76.13,128.06,283.77,63695.9,30.698438123649336
2.77,2.26,1.56,76.49,127.64,261.82,65527.3,30.024835152283455
2.66,1.9,1.26,75.32,127.57,242.1,66182.6,24.85852622915888
2.54,1.86,1.21,76.25,128.54,264.33,75812.1,25.29941828251901
2.51,2.22,1.61,75.98,127.75,263.25,67794.1,26.65091062490637
2.81,1.96,1.77,76.25,127.89,278.66,71133.4,32.36616124008674
2.69,2.11,1.56,75.91,127.27,244.79,64297.9,26.95966949162266
2.73,1.82,1.52,76.59,128.17,281.04,74161.4,30.225346818106342
2.85,1.81,1.73,75.71,127.69,275.68,66943.6,31.721889555537356
2.74,2.22,1.76,75.36,127.77,282.24,76574.2,32.48528183559017
2.82,1.9,1.45,76.05,127.38,267.56,67015.1,29.870088463229305
2.53,2.07,1.74,76.16,128.55,280.24,69500.5,28.45580658442122
2.71,1.92,1.77,75.94,128.27,254.55,73865.1,28.887536434874615
2.63,2.27,1.29,75.83,128.22,255.33,76293.9,27.224709483864668
2.77,2.3,1.48,76.57,127.8,267.3,74355.4,30.767896405541475
2.67,1.95,1.55,76.48,128.33,276.91,65540.2,28.95902484216162
2.84,2.26,1.51,75.89,127.82,262.88,74512.3,31.3795390850081
2.9,2.18,1.23,75.61,127.81,282.37,75705.1,32.668005426102695
2.63,1.71,1.31,75.98,127.78,289.11,74137.3,28.221111396195166
2.73,2.13,1.23,75.66,127.46,240.73,74119.6,26.688037004966983
2.79,2.1,1.39,76.59,128.39,282.75,65186.0,31.00233043619357
2.62,1.81,1.33,76.6,127.95,247.93,65747.1,24.918856960804643
2.8,2.21,1.7,75.43,127.92,258.01,75195.2,30.947674254265618
2.82,1.74,1.27,75.64,127.83,265.57,74390.9,29.008479422725824
2.82,1.7,1.57,76.01,127.86,240.89,64661.5,27.478736078814105
2.67,1.87,1.61,75.69,128.55,254.49,75776.8,27.65607285228702
2.69,2.21,1.73,76.01,128.3,257.97,68458.0,29.240852455185628
2.51,1.81,1.44,76.0,127.34,272.73,73597.0,25.97408383056938
2.67,1.97,1.57,75.68,127.36,268.48,76937.1,28.919034372163306
2.76,2.23,1.45,76.59,128.41,243.58,64608.7,27.878737468780624
2.79,2.14,1.75,75.49,128.39,262.78,76562.9,31.31629479048024
2.72,2.08,1.57,76.2,127.92,262.62,70309.7,29.190686425907526
2.54,1.81,1.29,75.88,128.53,282.93,72306.9,26.537293757725816
2.62,1.8,1.75,75.31,128.46,271.09,66456.8,27.949274604547323
2.81,2.22,1.76,75.54,127.23,249.75,69428.8,30.272561686579362
2.89,1.84,1.23,75.72,128.02,286.52,69554.0,31.606895255687387
2.63,1.77,1.77,76.39,127.33,264.32,67902.2,27.906415046774097
2.57,1.91,1.36,76.09,128.33,253.12,66122.2,24.91424379382431
2.52,1.72,1.46,75.98,127.93,246.92,68794.7,23.782686053845733
2.62,2.25,1.44,75.32,127.81,292.96,63520.5,29.64162947764498
2.64,1.84,1.36,75.5,128.6,241.82,63727.4,24.617976104316195
2.62,2.01,1.27,76.25,127.72,240.86,76182.4,25.207331122844717
2.87,1.75,1.49,75.56,127.96,266.54,63521.4,29.929863714643258
2.57,2.26,1.21,76.34,127.9,246.1,65975.3,24.826727320465576
2.77,1.77,1.59,75.38,127.94,277.72,75480.9,30.468749032301044
2.55,1.92,1.63,76.31,127.75,242.18,65267.4,24.73862765418607
2.62,2.03,1.79,76.13,127.91,252.79,65914.7,27.432798302981606
2.62,2.12,1.42,75.8,127.31,279.82,72491.3,28.741661378398472
2.62,1.81,1.79,76.11,127.81,277.35,70923.5,29.115479282807538
2.54,1.9,1.6,75.96,127.27,244.02,69597.0,24.793798548285277
2.58,1.78,1.23,75.29,127.8,289.72,63096.9,26.64281699264745
2.8,1.77,1.38,76.19,127.83,243.24,70374.2,27.28692356735564
2.86,1.75,1.23,75.92,127.39,287.78,74630.8,31.292310833197913
2.58,1.82,1.46,76.54,128.19,281.76,73324.6,27.79219877283867
2.52,2.29,1.41,76.27,127.39,257.75,64146.7,25.619841144253765
2.78,1.94,1.38,75.54,128.45,259.8,63557.6,28.26478446100725
2.53,2.14,1.77,76.59,128.19,292.85,69221.4,29.77967677011463
2.56,1.81,1.7,75.95,128.1,262.72,73249.5,26.853094217527538
2.63,2.25,1.28,75.41,128.31,267.11,72997.8,27.84780401662078
2.61,2.07,1.74,76.3,127.48,284.43,64400.5,29.670795735656267
2.61,1.89,1.45,75.71,128.39,282.22,71028.8,28.17454163093964
2.53,1.97,1.3,75.34,127.52,293.29,67793.7,27.270643785425133
2.83,2.12,1.71,75.95,127.22,278.49,67420.9,32.52229073040621
2.73,2.11,1.4,76.17,127.49,243.89,71215.1,27.305158207147425
2.64,1.72,1.71,76.26,127.8,258.18,71784.6,27.394392921541677
2.87,1.8,1.47,75.69,127.22,256.46,71261.5,29.583061831452707
2.65,2.04,1.72,75.89,127.85,244.15,70430.9,27.128980711676828
2.78,2.23,1.52,75.99,128.43,286.07,76390.5,32.566349067234114
2.83,1.86,1.63,75.47,128.32,285.81,63163.3,31.72815324941666
2.68,1.72,1.34,75.28,127.57,283.97,68756.7,28.19179189973215
2.54,2.08,1.39,75.99,127.36,256.32,76647.2,25.86189132892991
2.78,1.78,1.43,75.57,128.58,291.92,75802.9,31.27856979303851
2.71,2.11,1.3,76.52,128.51,268.43,65398.0,28.383856520783862
2.87,2.2,1.79,76.39,127.87,285.7,76113.0,34.88520626200773
2.68,2.19,1.41,75.54,128.35,247.19,63965.7,26.705098471529364
2.66,2.25,1.36,76.09,127.35,277.89,68912.7,29.13212847594968
2.8,1.83,1.76,76.34,127.56,254.81,71421.5,29.818160399227732
2.74,2.11,1.21,76.09,127.24,277.32,63889.5,29.043918507827808
2.77,1.78,1.55,76.45,127.6,243.86,74387.5,27.7593426784922
2.52,2.1,1.22,75.6,127.22,273.86,71905.5,26.093370234308278
2.89,1.7,1.39,75.44,128.07,251.12,67669.5,28.677968802316396
2.51,2.2,1.76,76.25,127.87,240.86,70439.0,25.590364575484724
2.76,1.83,1.58,75.61,128.07,245.73,74475.0,27.86261171985677
2.8,1.73,1.71,76.28,127.53,242.56,73125.5,28.421611414055857
2.58,1.87,1.27,76.33,127.72,274.97,63691.2,26.163866506481437
2.67,2.25,1.37,76.13,128.59,279.6,73752.6,29.779320590434164
2.73,1.94,1.74,75.28,127.2,245.34,63687.8,27.55218088891831
2.73,2.2,1.53,76.24,127.37,260.79,70474.0,29.333334439774145
2.87,2.01,1.69,75.29,128.56,246.68,63782.1,29.649815076877186
2.79,1.73,1.33,75.98,128.46,263.39,74736.7,28.70909553543765
2.82,2.12,1.5,75.8,128.57,252.63,64382.2,29.262124655593194
2.7,2.23,1.37,76.55,128.22,285.42,64869.1,30.114612633179146
2.86,1.87,1.36,76.59,128.53,276.55,65142.3,30.840504428032997
2.5,2.29,1.76,75.36,128.0,282.09,74884.8,29.19070366135099
2.62,2.24,1.34,76.14,128.37,279.39,67557.6,28.53146780765621
2.67,1.93,1.52,75.74,127.82,278.43,73847.5,29.27923300072302
2.68,2.1,1.64,76.16,128.56,291.0,64893.4,30.926619876258425
2.61,1.82,1.42,75.28,127.2,243.61,70651.7,24.82062555944219
2.75,2.1,1.33,75.49,128.16,263.03,75406.0,29.060394937744714
2.58,2.12,1.45,75.83,127.55,253.02,65801.8,25.8433578013429
2.85,2.16,1.49,75.67,127.63,252.37,71992.3,30.0868466596645
2.86,2.0,1.62,75.61,127.76,266.59,68426.3,31.262229959055045
2.51,2.1,1.57,76.57,128.32,243.6,64978.0,24.525411856300362
2.88,1.75,1.63,76.13,127.66,243.27,71918.2,29.242791759142616
2.63,1.89,1.65,76.28,128.14,250.52,76462.6,27.103306732681627
2.5,1.74,1.36,75.94,128.36,244.57,73765.8,23.36566700928051
2.83,2.01,1.79,76.11,128.01,284.61,64131.0,32.96420864419429
2.54,1.81,1.33,75.66,127.71,252.19,63408.4,23.87554446650699
2.74,1.95,1.22,75.2,127.98,246.63,64158.1,26.16189775302018
2.67,2.17,1.65,75.28,128.16,243.41,71950.0,27.461531062618516
2.63,2.03,1.5,75.4,127.34,256.2,70147.2,26.881553077736836
2.62,1.82,1.76,75.89,128.39,258.49,66958.7,27.22834633605964
2.65,2.24,1.33,76.39,127.25,258.57,76716.3,27.74634083569003
2.51,2.11,1.58,75.58,128.01,262.49,71678.1,26.38141279493686
2.55,2.0,1.39,76.07,127.79,240.52,73644.8,24.455172236322593
2.67,2.18,1.45,76.35,128.19,244.36,69947.3,26.84324772696254
2.61,2.24,1.74,75.78,127.32,275.91,72521.0,29.885060716521476
2.72,2.23,1.51,76.42,127.87,248.18,67552.2,28.04254270038302
2.65,1.74,1.66,76.16,127.68,286.46,72019.4,29.62833868395273
2.73,1.85,1.51,76.51,127.51,248.79,72198.7,27.524023233518843
2.9,1.73,1.54,75.26,127.5,265.52,63040.6,30.215033747632216
2.53,1.8,1.34,75.4,127.78,274.36,68411.7,25.600124092409597
2.6,1.91,1.56,76.58,127.29,292.64,67682.3,29.219197107971464
2.87,2.25,1.62,75.22,128.15,283.77,68472.1,33.55120692267462
2.8,1.82,1.35,76.37,127.75,270.51,72809.3,29.6614117634067
2.6,2.19,1.24,75.84,127.68,277.82,73339.7,27.943305969672107
2.79,1.99,1.47,75.66,127.3,275.13,70950.2,30.502450145895633
2.56,1.87,1.73,75.98,127.56,290.65,66456.2,28.908777317202972
2.86,1.98,1.46,75.36,128.24,281.34,73873.4,32.11552866976251
2.64,1.95,1.52,75.33,128.55,279.31,76478.3,29.06951674085371
2.55,1.93,1.66,75.8,127.57,290.51,72980.1,28.99406940693836
2.52,1.76,1.48,76.14,127.36,271.08,75071.8,26.110974672837752
2.83,1.82,1.27,76.35,127.21,248.0,75339.7,28.0846835856164
2.85,1.78,1.62,76.55,128.18,244.15,71247.8,29.024943403063954
2.86,1.85,1.51,76.08,127.6,251.81,72508.3,29.525606283715543
2.57,2.22,1.59,76.46,127.22,281.43,76677.9,29.327239049043893
2.5,1.87,1.56,75.69,128.4,278.32,69070.9,26.5247377922617
2.65,1.8,1.53,75.82,127.86,289.01,70931.1,29.343059839198528
2.86,1.87,1.41,76.42,127.48,245.62,65517.6,28.41610861403819
2.84,2.05,1.23,76.57,127.33,290.2,66312.8,31.64753353167418
2.64,1.93,1.77,76.09,128.27,253.54,69863.2,27.652966773929617
2.87,1.92,1.22,76.18,127.35,258.28,64425.1,28.985753037603896
2.5,2.07,1.41,75.49,127.34,278.3,64919.6,26.263979125610486
2.64,1.81,1.26,76.21,128.17,250.98,65150.9,25.126553520838225
2.76,1.99,1.6,75.7,127.67,249.79,63307.6,28.066149353327543
2.89,2.27,1.34,76.21,128.15,248.82,63586.5,29.792877464867043
2.56,1.76,1.43,76.57,127.89,254.12,63759.2,24.6462974781773
2.54,1.76,1.42,75.29,127.83,279.49,76124.4,26.72507943747871
2.74,1.92,1.27,75.48,128.24,265.23,68601.3,28.000728060706475
2.63,1.9,1.38,76.09,127.39,280.69,68660.7,28.023948362169673
2.68,2.29,1.46,75.31,128.09,246.4,67198.3,27.257974300335828
2.77,2.08,1.52,76.52,127.83,257.0,68675.8,29.19034769786651
2.86,1.99,1.4,76.16,127.51,251.52,70467.0,29.380837968369857
2.63,2.25,1.22,76.1,127.56,259.78,65628.4,26.65538491194877
2.66,1.93,1.54,75.35,128.28,274.88,66345.2,28.404647582608273
2.59,1.81,1.64,76.36,128.45,280.59,64677.5,27.97951168291217
2.56,2.2,1.42,75.85,128.35,282.36,73856.4,28.430639321892155
2.7,2.21,1.46,76.26,128.01,288.28,75816.8,31.23661210963689
2.54,1.96,1.7,75.52,127.22,280.78,76553.7,28.496162995220626
2.89,1.79,1.62,75.74,127.78,265.01,73884.1,31.302441725973832
2.66,2.01,1.3,76.39,128.45,273.94,75076.3,28.361129475371282
2.65,1.88,1.23,76.15,127.67,246.88,72076.4,25.40124763672861
2.74,2.25,1.45,75.8,128.4,265.61,70350.3,29.74042188887415
2.63,2.28,1.31,76.27,127.51,276.6,65146.7,28.299878872270025
2.61,2.03,1.67,75.24,127.99,256.91,64725.0,26.936409919636272
2.7,1.77,1.43,75.8,127.7,282.77,68534.5,28.980486063054965
2.8,1.93,1.73,75.32,128.39,255.53,67013.6,29.548826046761857
2.76,2.12,1.57,75.7,128.16,268.73,74259.2,30.544832234767224
2.88,1.81,1.47,76.07,127.34,248.34,68494.1,29.042494114517122
2.55,1.86,1.21,75.32,128.42,274.33,68790.8,25.642570621913134
2.9,1.86,1.59,75.46,128.44,251.87,64054.2,29.794611877923554
2.74,2.07,1.56,75.31,127.66,267.29,76261.5,29.963858888230217
2.86,2.2,1.3,75.85,127.75,246.34,67455.9,28.991454145379176
2.74,2.04,1.49,76.26,127.69,276.83,76445.0,30.5543569832447
2.76,2.21,1.64,75.98,127.97,276.82,69901.7,31.54114161020504
2.64,2.05,1.45,75.81,128.11,281.55,64287.9,28.61646266145703
2.83,1.93,1.77,75.8,128.46,264.13,73554.9,31.374378122906588
2.68,1.98,1.6,75.34,128.24,272.67,63013.2,28.6706953106825
2.7,1.77,1.45,76.28,127.35,254.91,74020.4,27.25152217298307
2.65,1.81,1.74,75.42,127.95,286.97,70423.8,29.912371574817367
2.79,2.06,1.66,76.57,127.82,278.55,74356.2,32.08300880970194
2.51,2.29,1.31,76.29,127.68,250.63,70288.6,24.97443933472459
2.68,2.23,1.7,75.61,128.31,288.5,71511.9,31.697112711404653
2.84,1.74,1.43,75.26,127.86,269.14,76954.5,30.129029694254765
2.8,2.15,1.67,75.3,127.84,267.41,74420.8,31.379666218201006
2.58,2.0,1.36,75.44,128.26,256.47,72856.0,25.872150858959795
2.67,1.78,1.69,75.37,127.94,289.81,75571.4,30.427227311668727
2.54,2.18,1.64,75.27,127.75,268.33,74481.0,27.811222014942924
2.77,1.92,1.56,75.81,127.32,269.12,72318.3,29.9746779579317
2.63,1.78,1.55,75.7,128.17,288.26,76975.0,29.341785159839443
2.61,1.89,1.22,75.98,128.35,256.58,69912.4,25.449904499997498
2.7,2.28,1.39,75.38,127.64,271.51,75888.0,29.751827581465474
2.56,1.77,1.29,75.91,128.37,249.02,68861.2,24.054455228744697
2.71,2.03,1.67,75.94,127.21,274.21,69837.4,30.14867873599189
2.68,1.99,1.21,75.51,128.13,249.71,76664.3,26.450006206124268
2.53,1.75,1.27,76.44,128.59,241.73,71444.7,23.231235891545676
2.61,1.89,1.35,75.26,128.0,272.54,75269.8,27.257243238698944
2.79,1.84,1.44,75.34,127.48,273.09,70595.6,29.712165107556412
2.83,1.73,1.23,75.94,127.47,256.6,69490.8,28.078508113850486
2.61,2.25,1.43,75.94,127.32,261.21,69282.1,27.377951744868138
2.75,2.14,1.47,75.72,128.2,243.58,71399.4,27.8749288359661
2.64,1.78,1.68,75.34,127.47,249.95,63249.6,26.058545211725683
2.71,1.77,1.77,76.22,128.07,250.42,67215.4,27.837337551313677
2.84,2.18,1.35,76.49,128.46,263.87,71598.5,30.603410922556915
2.66,1.71,1.43,75.25,127.53,275.99,72924.2,27.821195713399103
2.78,2.28,1.68,76.21,128.27,285.66,67223.3,32.82680153770252
2.5,2.09,1.76,75.37,127.71,249.33,76684.5,26.13075799737123
2.58,1.97,1.22,76.15,128.01,257.93,71382.8,25.428735422911696
2.58,1.97,1.77,75.67,127.77,264.06,70121.2,27.714197310207734
2.81,1.97,1.75,76.55,128.46,250.59,76761.3,30.24858977294195
2.89,2.29,1.7,75.73,127.41,291.45,68872.8,35.03476839983773
2.84,2.14,1.68,76.47,128.55,283.83,64352.4,33.03222024571778
2.75,1.77,1.68,75.42,127.33,254.66,70240.0,28.32629861544103
2.57,2.18,1.77,76.14,127.84,261.83,72191.3,28.15954646433431
2.81,1.97,1.54,75.49,127.96,258.3,64944.3,29.251879722154623
2.76,1.77,1.34,76.34,128.01,288.97,71826.0,30.336382232169736
2.51,1.92,1.48,75.41,127.28,252.78,72535.0,24.7894457549346
2.77,2.15,1.57,76.45,127.94,242.03,74728.8,28.615124091009076
2.87,2.2,1.79,75.28,127.63,274.11,73432.7,33.49512217303288
