outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_mean_force
2.51,2.27,1.38,76.12,127.62,257.26,70526.4,25.66557545469379
2.73,2.08,1.45,75.33,127.83,240.8,71263.6,27.05981952729928
2.56,2.28,1.44,76.24,127.74,265.78,63292.4,26.82237478007755
2.87,2.22,1.68,75.9,128.03,279.34,74277.2,33.78628937148483
2.83,1.78,1.37,75.91,127.39,285.45,69938.0,30.99270967581742
2.75,1.99,1.37,76.34,128.53,279.73,69727.6,30.033537355019686
2.81,2.17,1.26,76.08,127.77,292.37,73968.1,32.2124770116659
2.58,1.75,1.71,75.33,127.91,271.66,68557.8,27.278208582765043
2.87,2.16,1.7,75.36,127.69,253.89,66990.0,30.91639881622461
2.82,2.24,1.39,76.31,128.37,292.45,66887.0,32.714007429277444
2.55,2.29,1.53,75.35,128.41,285.21,75684.6,29.28257397941604
2.8,2.04,1.7,75.41,128.39,273.94,65230.6,31.22734902909212
2.54,1.84,1.36,76.14,128.19,287.93,71281.6,27.198166470164548
2.72,2.11,1.62,76.27,128.0,266.89,68420.0,29.718844582735183
2.61,2.14,1.58,75.6,127.99,251.27,65357.2,26.58555535829134
2.65,2.03,1.66,75.56,128.0,259.03,76087.0,28.359190522136597
2.78,2.16,1.7,75.86,128.42,252.43,65903.3,29.618946994474978
2.52,1.91,1.38,76.3,127.76,276.11,75427.4,26.541155376702587
2.89,2.26,1.21,76.16,128.56,290.74,67417.7,33.04877923299273
2.68,2.25,1.64,76.43,127.75,285.18,76380.7,31.539404405932256
2.52,2.04,1.23,76.06,128.53,254.56,70863.4,24.54436896746517
2.6,1.7,1.4,75.86,128.33,243.83,68267.3,24.336008076002482
2.77,1.97,1.78,75.62,127.67,246.35,65984.5,28.66551409428325
2.86,2.0,1.32,75.85,128.36,240.99,75200.2,28.532269267746752
2.68,1.99,1.75,75.69,128.41,266.22,73248.5,29.467344398049246
2.7,1.74,1.25,75.85,127.36,245.92,70340.4,25.57611386494227
2.62,2.09,1.74,75.32,127.75,275.5,63718.4,28.950916061010044
2.72,1.74,1.37,76.4,127.75,276.84,72616.3,28.86997729560039
2.87,1.8,1.79,75.57,127.41,251.2,74030.8,30.428839368722603
2.55,1.79,1.25,75.86,128.14,285.33,63731.7,26.14516152635883
2.72,2.11,1.61,75.38,127.78,245.75,70565.5,27.921469343069358
2.53,2.16,1.5,75.28,128.08,274.86,73696.3,27.55569479516998
2.65,1.88,1.72,75.33,127.75,266.67,75227.5,28.66758124105399
2.88,2.15,1.48,75.4,127.86,268.16,71820.5,31.743107133638997
2.54,2.2,1.6,75.99,127.76,247.42,63892.0,25.517199845857927
2.73,2.06,1.67,76.38,127.66,282.71,69491.0,31.300041621276133
2.81,1.86,1.46,75.99,127.98,284.7,68630.3,31.171911154128335
2.51,2.22,1.79,76.48,128.44,261.85,73557.6,27.59147968277477
2.77,1.81,1.5,75.76,128.2,279.15,74133.8,30.404801934602002
2.59,1.98,1.6,75.7,128.39,254.08,70499.5,26.480072819345306
2.56,2.12,1.37,76.0,128.59,293.27,72071.0,28.739006955083024
2.82,2.13,1.57,75.38,128.34,292.46,63970.9,32.74164086295082
2.76,2.2,1.51,76.33,128.15,240.93,74483.7,28.298689884806887
2.85,2.06,1.79,76.0,128.3,280.08,67012.7,33.17080908323226
2.85,2.05,1.38,75.38,127.77,285.56,64358.6,31.653848294958717
2.57,1.79,1.28,75.9,127.35,276.12,65505.1,25.97960352856455
2.8,1.96,1.23,75.59,127.5,240.57,71861.8,27.03118675364203
2.88,2.28,1.78,76.26,127.69,269.59,68558.3,33.37113699145061
2.87,2.2,1.58,75.97,127.36,264.96,72029.1,31.90973598103312
2.55,1.96,1.45,75.4,128.27,279.18,64038.9,26.789163650048746
2.53,2.24,1.21,75.69,127.54,286.15,69285.4,27.362828406792456
2.7,2.02,1.41,76.36,128.22,288.19,76419.0,30.55546146792312
2.51,2.13,1.78,75.81,127.63,241.09,73241.4,25.641259090055765
2.86,2.24,1.32,75.37,128.04,247.76,72078.7,29.49145004370484
2.78,1.89,1.76,76.51,128.2,248.86,64698.0,28.86778092970439
2.6,1.79,1.46,75.83,127.36,241.32,72484.0,24.780764322151636
2.57,2.06,1.57,76.25,128.39,273.14,67574.3,27.6695494101898
2.81,1.84,1.67,76.24,127.38,275.82,76871.0,31.64828782283359
2.63,1.92,1.67,76.52,128.36,280.03,63140.6,28.86702544357126
2.81,2.18,1.77,75.22,128.08,281.51,65474.5,32.677469189454314
2.64,2.27,1.41,76.15,128.1,262.55,71120.8,28.034664843659353
2.63,1.81,1.62,75.28,127.66,256.25,76149.9,27.03360585582936
2.82,1.92,1.21,75.38,127.87,249.82,71036.1,27.81097131245269
2.83,1.81,1.39,75.28,127.22,251.19,66502.5,27.975369444257463
2.77,1.76,1.44,75.26,127.25,270.78,76715.2,29.313450029823567
2.65,2.05,1.29,75.23,127.78,293.15,72189.9,29.45662734252505
2.74,1.86,1.51,75.84,127.23,290.77,76825.8,31.18358831112084
2.62,1.72,1.25,76.45,128.37,245.43,71912.7,24.614322315012142
2.74,2.25,1.21,75.59,127.46,263.59,64886.1,28.373671527374537
2.62,2.01,1.38,76.32,127.41,270.22,70722.4,27.502995278911722
2.77,2.15,1.56,75.56,128.17,261.67,65998.3,29.647996051108745
2.82,2.09,1.51,75.5,128.49,286.96,68671.0,32.261670252297904
2.62,1.92,1.6,75.93,128.22,265.79,70151.7,27.663350832993725
2.78,1.89,1.65,76.04,128.05,257.04,70219.0,29.349332584365353
2.82,2.09,1.37,75.48,128.28,272.75,75845.7,30.97322320503144
