mean_force,max_force,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
129.7958440156673,216.26596875,2.8,1.94,1.54,75.43,127.61,282.58,64322.0
114.74994819911115,204.441078125,2.88,1.74,1.31,76.48,127.54,242.19,65476.8
138.21870117499503,217.13990625,2.79,2.25,1.7,75.58,127.42,268.99,68319.9
117.61976337765593,198.459921875,2.64,1.73,1.56,75.9,128.41,263.81,73265.2
128.75867724349763,207.82159375,2.65,2.11,1.29,75.26,127.84,289.11,70753.4
138.51103483504505,223.109953125,2.86,2.15,1.71,75.73,128.01,270.23,69368.6
123.02591912796191,200.895828125,2.51,2.17,1.51,76.28,128.24,283.76,66228.4
114.80832389548077,191.315671875,2.76,1.81,1.45,75.39,128.01,244.51,67246.2
119.19618446289759,196.557296875,2.51,2.12,1.24,75.55,127.89,270.6,76031.4
127.8746714406954,203.517140625,2.75,2.0,1.6,75.21,127.84,269.27,65244.7
116.00761576987216,203.361140625,2.62,1.86,1.29,75.73,127.83,275.95,67875.5
115.82859566523878,196.749265625,2.79,1.92,1.23,75.31,128.38,246.3,66397.8
114.0063277928982,188.563921875,2.63,2.18,1.2,75.51,127.39,245.91,65186.2
117.29947560928758,193.6561875,2.52,1.79,1.7,75.43,127.67,286.12,63116.5
120.42125995866427,203.9890625,2.54,1.95,1.35,76.45,128.39,280.68,75634.6
113.79122827017846,191.386890625,2.57,2.0,1.22,76.27,127.59,253.12,71668.1
110.48850979053724,189.963296875,2.52,1.76,1.46,75.4,127.75,272.5,65393.3
120.78593408981466,200.682484375,2.68,2.14,1.22,75.38,128.27,250.32,76287.2
129.45259454183946,204.257984375,2.68,2.1,1.59,76.23,128.33,281.52,65209.6
119.47202916871194,200.158359375,2.82,1.77,1.43,76.58,127.9,246.04,76984.7
137.7476523219488,231.10353125,2.77,2.22,1.35,75.59,127.58,284.71,73880.7
136.8785147143405,218.174875,2.72,2.28,1.56,76.28,128.11,275.39,73095.5
129.43863037886322,214.262,2.82,2.08,1.32,75.39,127.72,261.03,72598.9
117.8327543405622,189.681125,2.54,2.24,1.56,75.45,127.62,255.71,74653.2
143.99029993129952,225.822265625,2.77,2.14,1.79,75.72,128.5,285.61,74041.8
134.4173227087662,209.608890625,2.71,2.04,1.64,75.28,128.51,278.82,73462.8
128.13302917337504,209.600390625,2.85,1.92,1.76,75.4,127.33,249.61,73907.0
