outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_max_force
2.73,2.08,1.45,75.33,127.83,240.8,71263.6,193.6233314657121
2.56,2.28,1.44,76.24,127.74,265.78,63292.4,195.35431069350977
2.87,2.22,1.68,75.9,128.03,279.34,74277.2,230.63805473192235
2.83,1.78,1.37,75.91,127.39,285.45,69938.0,226.43639052037736
2.75,1.99,1.37,76.34,128.53,279.73,69727.6,217.94162122551825
2.81,2.17,1.26,76.08,127.77,292.37,73968.1,234.5820097538608
2.58,1.75,1.71,75.33,127.91,271.66,68557.8,194.11006922873253
2.87,2.16,1.7,75.36,127.69,253.89,66990.0,211.43223849530443
2.82,2.24,1.39,76.31,128.37,292.45,66887.0,232.48603354253873
2.55,2.29,1.53,75.35,128.41,285.21,75684.6,208.0260933694268
2.8,2.04,1.7,75.41,128.39,273.94,65230.6,214.38631186924124
2.54,1.84,1.36,76.14,128.19,287.93,71281.6,205.02744856716436
2.72,2.11,1.62,76.27,128.0,266.89,68420.0,208.49267863274895
2.61,2.14,1.58,75.6,127.99,251.27,65357.2,188.12444805723305
2.65,2.03,1.66,75.56,128.0,259.03,76087.0,198.9324704979747
2.78,2.16,1.7,75.86,128.42,252.43,65903.3,202.75704057116297
2.52,1.91,1.38,76.3,127.76,276.11,75427.4,199.63219682015654
2.89,2.26,1.21,76.16,128.56,290.74,67417.7,237.46205959793485
2.68,2.25,1.64,76.43,127.75,285.18,76380.7,221.2373517293846
2.52,2.04,1.23,76.06,128.53,254.56,70863.4,185.38486223391112
2.6,1.7,1.4,75.86,128.33,243.83,68267.3,180.48828640247166
2.77,1.97,1.78,75.62,127.67,246.35,65984.5,196.87514523932464
2.86,2.0,1.32,75.85,128.36,240.99,75200.2,205.73979365040987
2.68,1.99,1.75,75.69,128.41,266.22,73248.5,203.43254803047523
2.7,1.74,1.25,75.85,127.36,245.92,70340.4,192.878036400744
2.62,2.09,1.74,75.32,127.75,275.5,63718.4,201.11165986727508
2.72,1.74,1.37,76.4,127.75,276.84,72616.3,213.76702863528385
2.87,1.8,1.79,75.57,127.41,251.2,74030.8,209.89245162533086
2.55,1.79,1.25,75.86,128.14,285.33,63731.7,200.69976847890348
2.72,2.11,1.61,75.38,127.78,245.75,70565.5,195.50385809312274
2.53,2.16,1.5,75.28,128.08,274.86,73696.3,198.53493239025613
2.65,1.88,1.72,75.33,127.75,266.67,75227.5,201.2539658825351
2.88,2.15,1.48,75.4,127.86,268.16,71820.5,222.8575265968244
2.54,2.2,1.6,75.99,127.76,247.42,63892.0,181.49309418581868
2.73,2.06,1.67,76.38,127.66,282.71,69491.0,219.09881718176166
2.81,1.86,1.46,75.99,127.98,284.7,68630.3,223.65351304097487
2.51,2.22,1.79,76.48,128.44,261.85,73557.6,191.21985879676458
2.77,1.81,1.5,75.76,128.2,279.15,74133.8,217.98445229683227
2.59,1.98,1.6,75.7,128.39,254.08,70499.5,188.22562315487176
2.56,2.12,1.37,76.0,128.59,293.27,72071.0,211.98453393198645
2.82,2.13,1.57,75.38,128.34,292.46,63970.9,227.55017926147616
2.76,2.2,1.51,76.33,128.15,240.93,74483.7,200.1978565642803
2.85,2.06,1.79,76.0,128.3,280.08,67012.7,224.2025016490718
2.85,2.05,1.38,75.38,127.77,285.56,64358.6,226.64646903717244
2.57,1.79,1.28,75.9,127.35,276.12,65505.1,198.5585242496811
2.8,1.96,1.23,75.59,127.5,240.57,71861.8,199.91983744910067
2.88,2.28,1.78,76.26,127.69,269.59,68558.3,225.10919695380358
2.87,2.2,1.58,75.97,127.36,264.96,72029.1,222.6013519833407
2.55,1.96,1.45,75.4,128.27,279.18,64038.9,196.88771040068457
2.53,2.24,1.21,75.69,127.54,286.15,69285.4,206.5926903741755
2.7,2.02,1.41,76.36,128.22,288.19,76419.0,222.17143355380892
2.51,2.13,1.78,75.81,127.63,241.09,73241.4,177.93534496038433
2.86,2.24,1.32,75.37,128.04,247.76,72078.7,210.37322291721966
2.78,1.89,1.76,76.51,128.2,248.86,64698.0,199.1671462733059
2.6,1.79,1.46,75.83,127.36,241.32,72484.0,182.80765594810146
2.57,2.06,1.57,76.25,128.39,273.14,67574.3,198.71416429141232
2.81,1.84,1.67,76.24,127.38,275.82,76871.0,222.63615194939268
2.63,1.92,1.67,76.52,128.36,280.03,63140.6,204.86746933851668
2.81,2.18,1.77,75.22,128.08,281.51,65474.5,220.9950230292617
2.64,2.27,1.41,76.15,128.1,262.55,71120.8,202.2652894161705
2.63,1.81,1.62,75.28,127.66,256.25,76149.9,193.56850625350376
2.82,1.92,1.21,75.38,127.87,249.82,71036.1,205.18403770826092
2.83,1.81,1.39,75.28,127.22,251.19,66502.5,204.08872397871414
2.77,1.76,1.44,75.26,127.25,270.78,76715.2,214.28775671632434
2.65,2.05,1.29,75.23,127.78,293.15,72189.9,218.19259106229913
2.74,1.86,1.51,75.84,127.23,290.77,76825.8,225.58080025730203
2.62,1.72,1.25,76.45,128.37,245.43,71912.7,186.48521364175747
2.74,2.25,1.21,75.59,127.46,263.59,64886.1,208.57288136943077
2.62,2.01,1.38,76.32,127.41,270.22,70722.4,203.9139998955734
2.77,2.15,1.56,75.56,128.17,261.67,65998.3,207.24827391884503
2.82,2.09,1.51,75.5,128.49,286.96,68671.0,226.20472606877547
2.62,1.92,1.6,75.93,128.22,265.79,70151.7,197.45197229489622
2.78,1.89,1.65,76.04,128.05,257.04,70219.0,205.45611212869983
2.82,2.09,1.37,75.48,128.28,272.75,75845.7,221.5400251207884
2.55,2.16,1.52,75.62,127.26,278.99,69834.6,202.70073150763267
2.55,2.11,1.33,75.28,127.7,263.18,73741.1,193.83155054722818
2.87,1.98,1.28,75.67,128.2,254.22,67240.3,210.7703749429519
2.71,1.77,1.58,75.27,127.4,283.69,72257.3,214.40734692597232
2.63,1.72,1.41,76.37,128.42,249.81,73706.7,189.7360069753704
2.5,2.09,1.39,75.32,128.03,263.32,73433.8,189.00668503226416
2.54,2.08,1.55,75.53,128.57,285.01,68855.1,202.28554876938108
2.72,2.24,1.52,75.35,127.62,271.18,75198.2,214.0480674312023
2.72,2.18,1.24,76.08,127.81,274.71,65620.3,213.5735107223419
2.7,1.89,1.49,75.82,127.24,291.03,69837.5,219.7851104614166
2.6,1.75,1.59,75.22,127.58,268.12,64570.0,192.56137632968512
2.51,1.92,1.21,75.52,128.55,264.72,64412.3,185.87865501131034
2.86,1.9,1.39,75.46,127.71,253.7,67114.5,208.75275185555188
2.79,1.85,1.58,75.58,128.17,242.06,71304.6,196.58304204183344
2.74,2.05,1.55,76.34,127.54,246.75,71139.8,199.9980516066886
2.68,1.94,1.56,75.96,128.16,240.98,65792.9,186.5936893347789
2.55,1.94,1.46,75.52,128.49,264.38,65851.5,188.71480935730744
2.88,2.26,1.47,76.0,127.42,250.54,76238.1,217.6620448202906
2.82,2.3,1.68,75.97,127.86,242.35,76421.9,207.2322224085085
2.84,2.05,1.74,75.61,127.72,275.38,70366.3,222.11574622207763
2.57,2.23,1.62,76.06,127.62,284.45,71345.9,208.98914921752828
2.86,1.89,1.34,75.67,127.64,256.67,76262.9,215.0137445886245
2.87,1.93,1.71,76.09,127.67,267.61,66408.1,218.35344137102504
2.84,2.13,1.7,76.26,127.37,258.53,72347.5,216.18004332873352
2.85,2.05,1.27,76.52,128.14,256.81,64775.2,212.51418401252351
2.76,1.72,1.34,75.65,127.29,241.32,66371.4,192.63392509163316
2.75,1.82,1.26,76.39,127.28,257.82,69184.9,205.57035603884492
2.89,2.28,1.75,75.25,128.41,290.82,67850.8,234.635862578171
2.88,1.81,1.3,75.8,128.3,279.12,65689.8,223.93114924602162
2.79,1.7,1.28,75.97,128.59,259.78,75364.1,208.20467829185543
2.8,1.92,1.45,75.7,127.77,292.35,67546.1,227.12074992068813
2.84,1.74,1.7,76.1,127.63,248.22,75376.9,206.63722486026552
2.72,1.84,1.28,76.2,127.69,248.6,71722.9,197.73185132250183
2.72,1.84,1.34,75.89,128.11,288.87,71376.7,219.72884879968103
2.6,1.78,1.43,75.3,127.81,288.31,70427.3,207.5118487149956
2.7,1.99,1.61,76.38,128.47,273.24,66459.3,208.22581339887427
2.78,1.92,1.7,76.36,127.31,253.26,71887.7,206.1630387656038
2.6,2.19,1.34,75.37,127.85,256.76,63092.9,190.5028364311537
2.87,2.25,1.45,75.27,128.56,281.1,69216.6,228.2885218703865
2.71,2.25,1.77,75.5,127.87,274.36,75457.9,214.634744351706
2.82,1.77,1.77,75.89,128.07,265.2,67494.2,210.40744994347733
2.65,2.07,1.57,76.27,128.36,285.91,67109.6,212.65934179514443
2.58,2.12,1.54,75.8,127.33,257.74,74976.5,194.75714838020133
2.8,1.73,1.48,75.46,128.12,242.33,63982.3,193.38858211801357
2.8,1.86,1.46,76.27,127.41,261.6,68346.2,210.76660226880597
2.6,1.98,1.37,76.57,128.55,256.15,67906.4,191.72202148585723
2.79,1.97,1.44,75.28,127.75,289.09,69674.7,224.95142512241216
2.51,2.06,1.26,76.04,127.59,284.29,70500.6,203.16274417794966
2.71,2.0,1.75,76.49,127.84,261.78,63192.5,201.951124850459
2.76,1.92,1.42,75.24,128.42,261.59,63231.5,202.2571206098529
2.72,2.1,1.78,75.9,127.89,257.45,74958.7,204.60762476836567
2.83,2.23,1.51,76.13,127.89,271.13,73311.8,223.37808517513804
2.63,1.75,1.28,76.21,127.45,248.33,72915.2,190.35624362344743
2.7,2.17,1.28,76.46,127.72,255.42,70598.4,203.43222754812564
2.84,1.81,1.5,75.55,127.64,279.88,65012.8,220.53845751557708
2.55,1.98,1.42,75.24,128.0,257.76,70115.0,187.07716980391035
2.51,1.94,1.29,75.89,128.16,244.1,63487.8,174.63021753342207
2.57,1.78,1.39,75.3,128.14,276.12,72840.4,198.67810451022535
2.6,2.09,1.36,76.44,128.18,282.86,69312.0,209.1855630188635
2.82,2.18,1.38,76.01,128.22,285.99,68275.3,228.25657813031205
2.77,1.97,1.49,76.11,127.33,275.83,63299.7,215.24740988346423
2.77,1.9,1.34,75.9,127.53,268.7,69197.1,212.49048619659732
2.7,2.28,1.32,76.06,128.4,277.66,68865.5,214.88163213072733
2.6,2.2,1.65,76.39,128.21,279.26,64620.1,205.28835821581868
2.78,1.88,1.66,75.49,127.91,274.48,70102.8,214.4296425610006
2.74,2.13,1.66,75.9,127.26,265.52,71818.6,211.20598707454712
2.58,1.94,1.58,75.76,127.32,256.95,74746.5,192.22464048941424
2.89,2.14,1.61,76.33,127.3,266.92,72602.1,225.85442292904338
2.7,2.18,1.6,76.47,128.02,242.05,66240.8,192.8151901101719
2.85,1.95,1.56,75.31,127.61,245.13,73317.4,205.5879513719152
2.79,2.24,1.74,75.88,128.29,244.26,76767.6,204.3765618604191
2.52,2.13,1.49,76.1,128.16,256.04,69032.3,186.11679579717622
2.83,2.23,1.63,75.46,128.21,262.36,66349.4,213.10319054357626
2.62,1.7,1.66,76.22,127.38,289.59,73314.9,212.17945765636682
2.6,2.03,1.61,75.29,127.69,288.56,69579.7,209.3441173594856
2.53,2.1,1.24,75.79,127.25,286.7,73632.3,207.86060776467536
2.62,2.09,1.54,76.18,127.64,271.94,71232.0,204.7561951449021
2.83,1.74,1.58,76.36,128.31,258.63,73941.4,211.00753582718698
2.74,2.27,1.36,76.58,127.63,251.72,73138.0,206.7763405191863
2.75,1.99,1.64,76.18,128.55,286.25,70212.9,220.75402839776564
2.77,1.78,1.54,75.55,127.61,268.97,72917.9,211.50664681736248
2.55,1.84,1.59,75.87,128.35,281.81,64029.4,197.7438677723577
2.76,2.1,1.64,75.52,127.43,289.49,64044.6,221.98766282231145
2.7,1.86,1.49,76.53,128.47,288.17,63776.8,215.38014207258345
2.62,2.15,1.77,76.03,127.97,242.13,64560.8,184.08392649953805
2.61,1.84,1.46,75.37,127.77,269.97,72226.4,198.99798082104792
2.65,2.12,1.29,76.17,128.12,275.21,64713.9,206.8833488499438
2.58,2.3,1.54,76.08,128.17,258.63,64462.2,192.23067808614837
2.63,2.19,1.27,75.68,128.32,281.62,65996.1,208.95263818569083
2.53,1.89,1.62,76.49,128.5,291.5,76187.5,208.2865275742057
2.84,1.84,1.26,76.31,127.98,256.31,68295.7,210.48818073009556
2.86,1.96,1.3,75.54,128.15,245.72,74813.3,207.68165778141156
2.86,1.76,1.66,75.82,127.3,243.95,76849.4,206.74932335770814
2.62,2.16,1.43,75.58,128.41,266.65,76145.6,202.3465942584785
2.79,2.24,1.6,76.11,127.84,250.03,65779.9,204.61947790443855
2.52,1.94,1.4,76.35,128.53,243.22,73038.5,178.77700530398124
2.53,2.17,1.55,75.4,128.29,261.98,70928.2,189.77485023770794
2.5,1.83,1.73,75.97,128.33,286.77,69589.1,198.58325640453847
2.52,1.72,1.21,75.73,127.56,241.85,74067.7,176.99021765761938
2.78,1.93,1.21,75.21,128.29,278.12,64527.7,214.98488996673314
2.55,1.72,1.61,75.48,127.98,293.69,65502.8,203.56351168776484
2.68,2.08,1.64,75.26,127.88,271.37,63182.2,203.20301860895358
2.5,2.0,1.68,75.74,127.45,280.91,64148.8,195.35416602827024
2.85,2.17,1.74,75.61,128.26,285.83,63043.4,226.27874466315177
2.89,1.97,1.51,75.9,128.28,240.69,76508.9,208.06513913767014
2.88,1.76,1.23,76.48,127.89,257.36,63334.8,212.25699729222003
2.53,2.25,1.43,76.06,127.24,242.25,74789.7,184.00504461025116
2.65,2.09,1.23,76.23,128.03,280.16,64283.4,209.8049193040522
2.9,2.04,1.49,76.42,127.79,261.14,65785.9,219.11710841106674
2.69,1.76,1.25,76.51,127.89,268.96,66259.1,204.8706215834809
2.84,1.96,1.6,75.85,127.39,280.0,67752.8,224.14370713164988
2.75,2.23,1.79,76.55,127.98,264.1,70057.1,211.53283299900374
2.7,2.21,1.4,76.35,128.09,259.02,73523.7,205.93591355470517
2.6,2.11,1.2,76.15,127.26,240.66,76043.0,188.6620249492929
2.9,2.27,1.52,75.86,128.54,247.55,67777.2,211.85848251166908
2.63,1.97,1.28,76.18,127.47,258.52,70416.4,197.25695546910345
2.62,2.11,1.77,76.27,127.36,274.77,73381.4,207.56171795662067
2.71,2.08,1.44,76.06,127.64,283.82,76273.9,221.0893012670033
2.69,2.25,1.74,76.18,128.08,277.09,71424.3,214.04235680947068
2.83,2.24,1.74,75.87,127.39,250.01,65290.1,207.60500224108011
2.69,1.89,1.21,75.76,127.37,283.66,74065.1,217.05255509024585
2.53,1.89,1.32,75.63,127.35,273.66,66509.2,194.48692596622527
2.69,1.7,1.4,76.11,127.62,289.69,70055.4,216.8296276203513
2.83,2.24,1.26,75.71,128.59,282.06,68750.7,226.7289575766548
2.52,2.29,1.27,75.54,127.41,270.88,70246.5,197.39492102098666
2.9,1.81,1.63,76.47,128.4,260.77,65226.1,215.11520403421594
2.68,1.96,1.44,75.67,127.43,249.89,64534.8,192.19818916731413
2.55,2.1,1.58,75.71,128.35,254.41,63383.1,183.7610162117054
2.64,1.82,1.47,76.22,127.86,249.67,72478.8,191.17331856045553
2.6,2.2,1.33,75.45,127.65,242.03,65007.7,183.32522786792617
2.72,2.24,1.43,76.48,128.03,275.95,65756.3,215.01043093261467
2.51,1.81,1.66,76.02,127.38,255.16,65663.2,180.83873613531523
2.74,2.14,1.42,76.12,128.21,277.72,68532.2,216.73267190106776
2.85,2.19,1.77,75.68,127.26,257.62,63481.6,212.01686708648288
2.57,2.06,1.6,75.99,127.28,270.08,68589.3,198.17445834426394
2.71,1.91,1.21,75.5,128.39,243.82,66978.6,190.5348686290282
