outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_max_force
2.52,1.86,1.61,75.34,128.49,249.99,72307.2,178.98284445781758
2.61,1.86,1.65,76.05,127.96,267.48,66919.0,196.21089415330198
2.64,2.11,1.61,76.25,127.41,292.56,68948.0,217.98351319954918
2.8,2.14,1.49,75.31,127.92,255.22,64173.3,205.06423200194763
2.75,2.29,1.51,75.86,128.17,258.32,70547.2,207.76805138202553
2.51,2.15,1.55,76.37,128.46,254.87,70914.6,185.67511670219483
2.69,1.98,1.67,75.37,127.86,257.07,70217.6,197.82117109982767
2.67,1.84,1.31,75.66,128.38,277.43,69631.2,207.47003726984167
2.79,2.16,1.73,75.62,128.03,284.46,72468.1,224.93888627893546
2.78,1.99,1.32,76.25,128.37,248.02,66861.1,200.76203570363634
2.8,2.06,1.45,75.85,128.3,276.75,75356.7,222.26065383989635
2.89,1.74,1.7,75.59,128.49,284.48,67666.8,225.955125445386
2.58,2.22,1.49,75.87,128.15,253.76,66330.9,188.96827261492194
2.9,1.95,1.66,76.04,128.2,288.06,76192.0,236.23547919767157
2.89,1.94,1.56,76.16,128.26,266.3,65177.0,218.4750327283624
2.7,1.95,1.65,75.23,127.22,255.77,63536.1,195.50326564126658
2.86,1.78,1.2,76.35,128.54,271.75,68352.5,220.07360241990284
2.55,2.28,1.37,75.96,127.94,255.57,74115.4,192.11848243954978
2.8,2.12,1.51,75.65,128.0,244.58,68156.6,200.90462424448606
2.62,1.81,1.5,76.24,128.6,252.95,63914.8,187.05165792625257
2.81,2.21,1.57,75.33,127.81,275.87,71333.2,221.73180718752553
2.54,1.89,1.23,75.68,128.57,291.62,66040.9,204.69900641766094
2.73,1.99,1.69,76.44,128.08,271.95,76663.5,214.50928912130962
2.82,1.9,1.7,75.78,128.29,247.96,70146.5,202.46564922495725
2.88,1.99,1.42,76.41,128.44,242.04,70277.9,206.77156302971036
2.71,2.29,1.74,75.38,128.37,249.77,72407.1,198.60587080251298
2.89,2.03,1.27,76.27,128.11,286.36,63882.7,231.91768251110034
2.73,1.87,1.63,75.57,128.44,286.38,72547.6,217.79812030638107
2.88,1.79,1.71,75.37,128.41,282.83,76139.3,227.98737396353363
2.58,2.14,1.3,75.62,128.35,280.87,67797.5,204.45625651188368
2.81,2.02,1.2,75.73,128.19,287.58,70119.0,227.52270207608103
2.73,2.0,1.44,76.55,128.51,251.63,71340.9,200.84988767367736
2.65,2.2,1.62,75.93,127.71,250.66,63219.8,191.84607396659294
2.65,2.0,1.43,76.13,127.44,293.16,68618.5,218.17114783440059
2.55,2.01,1.54,75.46,127.35,274.78,69025.9,197.85750998407593
2.76,1.74,1.74,75.42,127.61,288.53,74656.8,221.55780576996142
2.83,2.26,1.69,76.38,127.36,265.68,66273.5,218.59328698610148
2.55,1.97,1.47,75.58,127.57,276.62,69798.9,199.0042673040199
2.85,2.26,1.52,76.24,128.17,280.85,75862.4,231.8094280166041
2.52,2.07,1.66,76.25,128.07,278.65,75401.1,201.28221090991178
2.71,2.21,1.72,75.54,128.5,264.85,68304.8,204.95339243315914
2.76,2.09,1.56,76.04,127.95,265.87,70710.2,211.6102411309463
2.67,1.87,1.23,75.84,127.91,288.72,68801.6,215.37946258002
2.71,2.2,1.43,76.01,127.99,244.54,69821.1,196.0224324463095
2.87,1.79,1.54,76.15,127.87,273.84,76621.0,225.11953191436055
2.53,2.16,1.46,76.58,128.54,257.42,71666.1,189.7930932811188
2.78,1.85,1.31,76.41,127.54,286.22,68222.4,223.9714751047676
2.63,2.23,1.26,75.5,128.06,253.49,64844.1,192.34975346224758
2.8,2.15,1.29,75.91,128.59,263.55,63996.3,210.95134362870112
2.54,1.81,1.26,75.48,128.12,277.7,67289.7,196.10850236847602
2.52,2.23,1.23,75.79,128.3,254.53,72599.9,187.5848134081226
2.54,1.98,1.44,76.07,127.5,258.6,70719.1,189.42877137885057
2.52,1.76,1.76,75.62,127.92,267.36,63584.3,185.3872729090383
2.51,1.83,1.64,75.71,128.04,269.6,73872.6,191.1248398396499
2.69,2.28,1.75,75.87,127.99,278.76,68343.4,213.47038713129882
2.81,2.18,1.49,75.45,127.69,250.47,75034.4,208.8419431570078
2.84,2.2,1.32,75.36,127.83,288.35,72774.6,232.689034837314
2.67,1.95,1.63,76.51,128.5,273.22,67137.5,205.87904536994154
2.58,1.86,1.24,75.74,128.19,259.15,63799.8,188.06520607271932
2.7,1.76,1.51,76.29,128.27,279.12,64617.6,209.0020189816246
2.89,1.82,1.41,76.16,127.53,276.48,74705.6,228.75720657469208
2.82,2.11,1.76,76.19,127.64,260.96,67892.9,213.08589370630705
2.61,2.17,1.73,75.2,127.38,250.28,66208.2,188.00078434569411
2.88,2.3,1.32,76.46,127.44,283.9,66838.9,234.85462170082758
2.83,2.09,1.74,75.87,128.1,243.9,75851.1,205.7684992076288
2.89,2.24,1.71,76.29,127.72,260.83,73284.9,222.61628297549112
2.52,2.03,1.24,76.32,127.94,287.86,66064.1,204.3312965973663
2.72,2.08,1.63,75.21,127.9,265.95,72921.8,207.3735710528972
2.89,2.09,1.34,76.4,128.39,282.3,69942.7,232.30607993538183
2.66,1.89,1.72,76.24,128.32,287.16,68827.6,212.60769062330405
2.53,2.04,1.54,75.74,128.57,265.03,70534.4,190.47429774180705
2.72,2.25,1.62,75.76,128.05,268.5,63457.6,207.60483305172238
2.53,1.82,1.67,76.31,128.07,265.54,63016.2,187.23617024564442
2.6,1.95,1.7,76.55,127.76,281.75,75316.4,209.36405335533993
2.57,2.3,1.76,76.16,127.35,254.49,64045.7,189.77898011398543
2.7,2.21,1.42,76.41,127.34,284.87,68927.5,220.44455888286575
2.72,2.28,1.61,76.44,127.26,265.32,69524.7,211.3819469363741
2.62,2.29,1.24,75.66,127.25,285.75,71962.3,215.47706471969445
2.69,2.19,1.67,76.3,127.54,279.61,65498.7,213.68881521207925
2.69,1.79,1.24,75.28,128.26,249.56,70115.0,191.99266053678843
2.81,1.92,1.47,75.34,127.65,275.16,66205.9,216.5960401617449
2.87,1.95,1.61,75.72,127.78,246.72,65161.1,205.13231262439626
2.83,1.78,1.44,75.84,127.42,246.53,73592.1,204.89107479204017
2.81,1.86,1.74,75.41,128.15,293.54,69738.6,226.85295418032513
2.8,2.2,1.29,75.97,128.59,247.07,69921.3,204.27572092565617
2.62,1.78,1.78,75.69,127.85,258.25,67363.9,190.0315155608488
2.57,1.99,1.79,75.77,127.26,273.31,68940.5,198.52481392669551
2.73,2.28,1.42,75.69,127.51,245.11,68169.9,198.24863210042406
2.58,1.94,1.59,75.49,127.93,263.15,65287.3,190.34836002941313
2.86,1.92,1.31,75.88,128.52,258.72,64985.7,211.01272097171966
2.8,1.82,1.41,76.54,128.01,290.99,72787.1,229.22090991985283
2.66,2.03,1.63,75.55,127.82,260.8,69327.6,198.20984257667442
2.64,2.22,1.45,76.16,127.46,275.71,76903.4,212.72245452457707
2.55,1.77,1.41,75.82,128.27,271.25,73375.3,195.17277794298536
2.52,2.2,1.2,75.8,127.88,262.36,65296.1,189.68900254346784
2.76,2.09,1.72,76.14,127.6,281.26,69258.7,220.32410625397745
2.79,2.24,1.55,75.88,128.19,281.94,76416.0,226.71514316016305
2.69,2.03,1.75,75.85,128.26,245.64,64618.4,189.73448912323204
2.78,1.91,1.78,76.31,127.51,240.82,74774.7,199.49121213176522
2.76,2.21,1.33,75.57,128.18,293.08,72806.4,228.97103098095067
2.84,2.27,1.36,75.54,127.98,263.31,76704.3,220.43742494795822
2.76,2.01,1.54,76.13,128.15,258.0,76110.7,208.36604199727833
2.51,2.24,1.46,76.29,128.33,246.76,71494.9,182.30009523570106
2.65,1.85,1.44,76.37,127.9,272.99,68549.3,204.73220170708612
2.78,2.08,1.43,75.97,127.27,249.57,66182.0,203.0700784198616
2.53,1.99,1.29,76.16,127.83,248.12,69656.9,182.3887446691009
2.83,2.12,1.47,76.04,127.56,258.18,74878.9,215.79573972276535
2.62,2.01,1.47,75.86,127.52,274.19,75697.5,206.81208618342112
2.51,2.02,1.78,75.3,127.8,282.96,65058.8,196.22581723118776
2.55,2.05,1.55,75.33,128.11,269.53,73858.3,195.88758758305732
2.73,1.81,1.3,75.62,127.53,282.4,76727.2,219.05642259318336
2.64,1.97,1.47,75.9,127.82,289.98,71568.6,215.23480108552212
2.72,2.1,1.39,75.8,128.17,290.44,76836.9,225.048214664243
2.55,1.76,1.42,75.98,127.65,246.08,67191.3,179.09787632864652
2.77,1.77,1.56,76.32,128.09,246.19,75490.8,200.11314312823913
2.51,2.13,1.33,76.3,127.59,243.08,70733.9,180.23756445739366
2.69,1.91,1.8,75.85,128.07,244.53,66800.5,188.8932079401934
2.58,1.88,1.79,75.93,127.29,249.32,65261.8,183.26493015717801
2.71,1.74,1.25,75.97,128.13,251.29,70282.9,195.8334987002255
2.79,1.76,1.69,75.4,127.85,289.14,63227.5,219.30651027845386
2.59,2.13,1.39,75.69,128.18,275.73,75693.4,205.40095954883782
2.5,2.2,1.64,75.61,128.31,288.98,76126.7,205.7788742102241
2.72,2.12,1.36,75.22,128.18,275.01,64222.1,209.77203800632105
2.86,1.85,1.22,75.26,128.3,283.33,65454.4,224.1144313592788
2.58,2.3,1.31,76.07,128.51,263.48,63096.3,194.80229784303742
2.75,2.28,1.36,75.27,127.76,280.47,69929.1,220.12241185730795
2.64,2.01,1.69,75.81,128.13,276.84,72872.9,207.20220172875304
2.83,1.88,1.56,75.54,128.5,289.41,66163.3,225.1262097781655
2.72,2.12,1.45,75.95,127.48,257.88,73732.0,206.06076365092076
2.58,2.0,1.49,75.81,128.42,245.19,64598.9,180.65874561937528
2.82,2.0,1.29,75.7,127.28,265.66,67041.3,214.9857965933245
2.75,2.18,1.49,75.3,128.13,254.78,69329.9,202.99489229163294
2.87,2.18,1.74,76.04,128.58,257.67,69725.5,215.02363621861832
2.89,2.03,1.51,75.67,127.84,248.53,67050.0,209.47572716009802
2.64,2.27,1.7,76.24,128.24,244.87,64648.9,188.8231140266007
2.84,1.82,1.24,76.35,128.08,247.41,66866.3,204.5293976005238
2.61,2.26,1.54,76.22,128.01,286.21,72067.7,213.90266679314834
2.54,1.75,1.31,75.41,127.75,275.85,72194.4,196.57489655947938
2.87,1.79,1.78,75.31,128.31,286.5,71747.9,227.2115095955586
2.89,1.79,1.65,76.35,128.33,244.82,66171.5,205.00072388124727
2.62,2.16,1.42,76.41,127.63,263.46,68363.7,200.24710625436308
2.54,1.8,1.6,76.58,127.61,287.21,70186.9,204.75881561044514
2.58,1.96,1.53,75.9,127.29,244.2,73049.1,184.830541320944
2.77,1.71,1.61,76.04,128.47,283.02,66806.9,216.11206500878404
2.71,2.11,1.4,76.03,128.56,250.07,70562.8,197.94285438512713
2.66,2.24,1.55,76.24,128.53,286.88,74865.4,218.6111929715263
2.54,2.27,1.4,75.56,128.03,272.14,72587.6,199.2765007589943
2.59,1.88,1.39,75.92,128.19,266.35,68386.6,194.92123537588918
2.89,1.97,1.31,75.84,128.45,253.48,68883.5,212.46638385506935
2.83,1.92,1.35,75.74,128.11,268.3,76523.5,219.14360037848803
2.68,2.02,1.38,75.71,127.55,243.34,71211.1,191.80021906541617
2.82,1.85,1.74,75.99,128.52,266.25,75603.9,214.90534144080084
2.89,2.23,1.47,75.5,127.97,246.35,63924.9,208.50650307265744
2.59,1.85,1.75,75.55,128.41,258.1,76787.0,191.230898973403
2.66,2.07,1.63,75.84,128.11,262.01,74202.7,201.56738648573946
2.89,2.1,1.51,76.16,128.57,270.77,66539.9,222.9799408858711
2.85,1.71,1.42,75.76,128.21,243.83,67360.4,200.20366911945507
2.66,1.9,1.54,75.25,127.59,271.58,74491.9,205.3665596418175
2.79,2.07,1.3,75.99,128.19,266.95,71028.0,214.87122197589747
2.63,1.88,1.58,76.56,127.29,241.13,66330.3,185.14988268837953
2.8,1.88,1.76,76.13,127.97,241.75,76327.6,200.81522087390556
2.88,1.97,1.55,75.62,128.37,256.88,70023.0,213.12123051848778
2.57,1.89,1.65,75.36,127.69,245.83,72649.9,182.0136636768799
2.85,2.06,1.75,76.23,128.27,280.77,71388.2,227.1147875003286
2.81,2.17,1.46,75.88,127.77,276.99,72184.1,223.85430274756948
2.52,2.27,1.69,75.9,127.71,273.03,63310.1,194.80095748080396
2.63,1.92,1.34,76.17,127.71,256.98,65540.1,193.34560270293093
2.82,2.24,1.4,76.44,128.17,252.56,68710.0,210.44587897902693
2.85,2.19,1.39,75.4,128.38,279.87,73481.6,227.82894197168048
2.89,1.78,1.48,75.32,127.3,271.15,73944.5,223.21973822068526
2.63,1.88,1.42,76.58,127.89,245.13,75054.0,190.31341932671216
2.65,2.14,1.72,75.44,127.22,241.54,74845.5,190.4374303476958
2.78,2.02,1.33,75.77,128.17,262.46,68522.9,209.33310010881007
2.6,1.92,1.22,75.34,127.38,273.6,64271.4,199.1244214574308
2.78,2.15,1.44,76.11,128.3,263.87,65757.6,210.6331940923053
2.89,1.94,1.77,76.24,128.37,266.13,71814.3,220.61680660939146
2.77,1.85,1.21,75.88,127.95,269.28,67883.9,211.53762829667164
2.83,1.79,1.78,75.33,127.62,258.09,69050.3,207.40109896982517
2.71,1.97,1.28,76.07,128.26,250.67,70286.1,197.63295046206463
2.8,2.3,1.37,75.49,127.29,282.6,73925.9,228.51091486473842
2.85,2.09,1.7,76.26,127.69,246.32,75567.1,210.31992323060774
2.73,1.78,1.57,75.74,127.67,263.73,63088.6,201.28618097237597
2.84,2.13,1.6,75.48,128.23,293.2,75532.3,234.8755341839136
2.85,1.93,1.72,76.1,127.87,251.09,67420.7,207.2572052515651
2.63,1.97,1.51,75.26,128.26,266.72,64833.4,195.91530248029824
2.76,1.78,1.29,76.39,128.3,271.84,71745.6,213.53833009091602
2.59,2.2,1.77,75.24,127.36,251.86,71879.3,190.06239071415052
2.56,2.17,1.38,75.6,128.22,283.16,71725.1,205.92658024520802
2.86,2.18,1.35,76.27,127.67,262.17,76583.9,222.50193613962188
2.63,2.24,1.62,75.81,128.34,268.44,74459.4,204.38499824458052
2.74,2.27,1.51,76.51,127.69,290.88,70080.3,227.72286727828305
2.71,1.9,1.34,75.46,127.53,282.68,66361.5,213.5952928474086
2.58,1.75,1.53,76.12,128.43,254.63,71135.0,186.83381190750015
2.54,2.22,1.21,75.35,127.9,274.74,75477.9,201.870788015519
2.53,2.22,1.6,75.72,127.6,246.3,75831.1,184.73638182856644
2.88,2.19,1.26,75.32,127.77,266.14,66367.1,220.26488228037044
2.68,2.05,1.66,76.56,128.29,249.09,72307.7,195.99169441136064
2.87,1.75,1.75,75.94,128.45,277.29,70197.1,222.05221948948179
2.85,2.26,1.65,75.24,128.1,291.55,74998.8,235.41272649884684
2.82,2.03,1.3,75.44,127.54,269.49,72126.6,218.67789540203933
2.84,1.9,1.53,76.47,128.21,275.69,76876.7,225.15075025367253
2.84,1.9,1.25,76.53,127.53,244.72,69864.0,206.278885276525
2.81,2.29,1.34,75.54,128.56,291.96,73962.5,233.02392521575052
2.75,2.3,1.43,76.37,128.42,251.22,74620.9,206.28187936039637
2.69,2.28,1.38,76.29,128.02,263.4,71306.6,207.5248949530311
2.65,2.14,1.7,75.41,127.24,276.08,66104.9,206.44143832822067
2.89,1.73,1.36,76.26,127.83,261.76,65970.1,215.50647278061786
2.73,1.84,1.62,75.49,128.03,277.45,66641.8,210.14107717815148
2.61,2.05,1.72,76.44,128.23,242.84,68041.0,184.7178146403063
2.7,1.97,1.32,75.33,128.08,244.7,67077.7,190.56905830569428
2.58,1.85,1.34,75.93,128.52,282.39,64601.1,201.65360000924727
2.89,1.71,1.55,76.53,127.74,286.92,71502.0,232.45349854224457
2.54,1.84,1.49,76.42,128.19,269.66,73466.8,195.33075534379464
2.88,2.0,1.58,76.41,127.91,241.23,68090.8,206.02142012629508
2.69,1.85,1.59,75.85,127.74,285.27,73594.0,215.81573175255244
2.81,1.77,1.47,75.92,127.86,276.39,74290.2,220.2337713642297
2.52,2.23,1.73,75.89,127.35,245.3,69916.1,181.53405003884063
2.51,2.01,1.29,76.18,127.49,247.48,68832.8,180.87875098307006
2.77,1.76,1.45,76.22,128.28,277.77,75155.7,218.1397842327675
2.88,2.0,1.59,75.87,127.51,243.2,67925.6,206.471427677703
2.62,2.06,1.77,75.29,128.39,266.71,74812.3,199.45091280280337
2.82,2.14,1.69,75.71,127.84,265.56,71192.3,216.22352368579163
2.73,2.12,1.44,76.58,127.23,249.15,69920.3,202.19710258462908
2.64,2.05,1.3,76.43,127.32,292.62,72947.7,220.60012518795645
2.86,1.9,1.78,75.92,128.08,247.81,66184.3,204.46642496231425
2.68,1.86,1.41,75.79,128.25,281.57,73704.0,212.69932854925082
2.78,1.89,1.65,76.32,128.0,245.99,65960.0,198.07066346465274
2.76,1.74,1.74,76.56,127.32,245.67,72511.8,199.00656727384808
2.86,2.09,1.58,75.58,128.55,283.86,71767.4,228.84558460221376
2.65,1.73,1.27,75.54,127.6,293.11,72607.9,216.1683256070412
2.88,1.95,1.61,75.74,128.09,258.92,63564.6,211.90777401815922
2.67,1.87,1.22,76.19,128.22,272.84,70222.5,207.00292957905106
2.89,2.07,1.63,75.95,127.83,280.26,74259.4,231.8031611664445
2.54,1.8,1.6,75.43,127.27,250.4,75786.8,183.67359026457586
2.59,2.08,1.56,76.24,128.09,258.62,67574.1,192.40976593768403
2.87,1.89,1.35,75.32,127.72,287.55,76828.2,233.24423005742767
2.58,2.22,1.46,75.48,128.32,263.56,74044.1,196.87560720056592
2.52,2.22,1.5,75.31,127.81,254.23,63998.9,182.77239322787898
2.85,1.86,1.66,75.5,127.67,251.27,76490.6,209.6640137049427
2.69,1.85,1.59,76.54,127.91,247.32,64757.4,191.52399102970128
2.77,2.25,1.3,75.66,127.23,286.55,63027.2,223.82067732442897
2.83,1.71,1.63,76.08,128.38,281.3,66397.3,219.9254765367325
2.5,1.92,1.62,76.33,128.42,284.29,76081.8,201.6414465014277
2.71,1.73,1.29,75.23,128.44,276.62,68669.0,207.81402619943378
2.81,2.29,1.53,76.49,128.35,293.53,66545.8,232.67523744330651
2.78,1.93,1.44,76.08,128.01,261.1,66307.1,207.34721362237815
2.8,1.97,1.59,76.16,128.17,277.18,74560.2,221.74146752309605
2.79,2.2,1.27,75.89,128.55,241.29,75040.4,202.0781804617958
2.57,1.78,1.45,76.16,128.47,271.47,64332.8,193.86561810623175
2.58,1.71,1.57,76.0,127.44,278.2,64638.0,198.52410352455524
2.8,2.22,1.73,75.99,127.83,289.83,67750.8,228.561983201536
2.71,1.97,1.58,75.36,127.44,243.37,76064.0,194.85441626629404
2.82,2.23,1.75,76.58,128.09,277.21,64711.3,222.66104040541154
2.64,1.74,1.46,75.51,127.36,288.49,76379.8,213.9679389098294
2.82,1.96,1.26,75.34,127.61,266.94,63414.9,212.53418207866446
2.57,1.83,1.8,75.52,128.4,286.81,72808.1,204.2907145414124
2.84,2.29,1.53,76.14,128.38,278.58,65548.2,225.17392624470017
2.82,2.01,1.74,76.05,127.95,243.58,76150.2,204.680845602393
2.67,2.06,1.78,76.18,128.16,276.75,67905.7,208.5988225595329
2.56,1.79,1.76,76.45,127.39,289.26,70909.8,207.24870000317992
2.65,1.76,1.45,76.55,128.04,274.35,65259.8,203.6087364974709
2.51,2.05,1.21,75.47,128.27,265.99,64103.1,187.9059334426405
2.64,1.94,1.38,76.19,127.43,265.98,63869.8,199.28907089570725
2.63,1.92,1.76,75.86,128.19,254.75,73792.2,192.8372974229552
2.6,2.07,1.55,75.26,127.34,286.43,70687.5,209.58961706110404
2.63,2.02,1.51,75.4,128.49,246.1,66238.6,185.00792556094586
2.84,1.81,1.43,76.18,127.31,276.04,65948.2,220.96294651007565
2.51,2.08,1.8,75.69,128.52,284.29,72053.8,200.43904790004558
2.85,2.3,1.68,75.91,128.04,271.67,72353.2,224.55515960782373
2.58,2.04,1.31,75.77,127.91,265.12,71460.3,196.48704381671007
2.73,1.73,1.71,75.72,128.39,287.88,73721.8,217.87504174729304
2.74,2.13,1.59,76.21,127.73,289.73,70512.3,224.87377480218652
2.77,2.27,1.72,75.51,128.27,268.19,65304.4,211.3930337112722
2.86,2.16,1.52,76.43,128.34,242.94,65486.7,205.47069283408325
2.83,1.86,1.72,76.3,127.4,244.46,74133.0,205.20162402678045
2.64,1.99,1.79,76.27,127.93,261.59,76943.7,200.8686564916958
2.76,2.2,1.49,76.47,128.24,281.25,72077.2,223.01117207062487
2.82,2.05,1.62,76.23,128.22,256.12,76151.8,212.54302434252622
2.68,2.12,1.39,76.03,128.16,293.42,75440.5,223.65552180290626
2.7,1.77,1.34,76.56,128.06,270.36,69649.0,207.47795837881245
2.55,2.27,1.73,75.32,127.27,286.38,63954.0,204.41106383993065
2.54,1.89,1.59,75.47,127.69,275.35,71722.8,196.7010659613842
2.52,2.09,1.45,76.33,127.92,276.31,64578.8,196.8424327279289
2.51,2.12,1.62,75.21,128.43,262.78,76616.9,189.85701611197146
2.67,2.03,1.76,75.85,127.78,260.57,72594.4,200.68195007164923
2.7,2.21,1.43,75.31,127.41,247.87,67241.5,195.61944548572512
2.57,2.04,1.33,76.01,127.87,275.37,68418.4,201.01342902797762
2.88,1.87,1.64,75.97,128.55,289.07,73790.4,232.7315788510192
2.85,2.27,1.51,75.61,127.96,284.72,72373.7,231.75437983150016
2.86,1.75,1.66,76.06,127.44,283.07,67064.1,225.30907582265843
2.83,2.08,1.52,76.32,128.04,251.71,71592.7,209.94279906851398
2.87,2.01,1.44,76.08,127.22,287.67,63194.9,230.85412866793
2.68,1.89,1.62,76.45,128.1,287.71,63822.8,213.6304106929275
2.82,2.23,1.54,76.46,127.27,249.42,64323.3,207.994762593936
2.69,1.9,1.29,75.43,128.0,269.06,67425.6,203.87906572172983
2.65,2.12,1.5,76.26,128.03,265.65,74073.8,204.68449064548952
2.89,1.9,1.34,75.5,128.4,265.54,72781.9,219.71474487888577
2.65,1.83,1.62,75.74,128.05,242.73,70365.3,185.4247164215451
2.62,1.87,1.58,75.98,128.42,265.77,65446.5,194.9992465298251
2.68,1.7,1.26,75.46,127.95,283.98,64991.3,209.14075769645638
2.63,2.12,1.29,75.54,127.96,240.63,65688.9,184.2258422309461
2.77,2.17,1.55,75.85,127.94,266.95,66919.4,211.92053813469306
2.71,1.77,1.63,75.71,127.64,289.55,68785.3,216.78086720770682
2.68,1.9,1.38,76.22,127.63,240.8,76078.5,192.1695124537739
2.59,1.78,1.29,75.3,128.18,269.98,70858.5,196.1428906397473
2.59,1.8,1.4,75.86,127.96,292.81,70001.6,210.51411925074035
2.51,2.24,1.79,76.1,127.35,253.27,74460.8,187.6228826145208
2.87,1.86,1.71,75.97,128.11,274.94,70632.0,222.7115417251705
2.64,1.98,1.4,75.83,127.64,267.02,71723.8,202.22712822372512
2.85,2.29,1.47,75.77,127.28,264.93,74748.6,222.97558975950642
2.65,1.77,1.53,75.27,128.04,288.04,73933.2,212.08159148204732
2.89,2.01,1.43,76.49,128.05,266.22,71087.5,223.03470812530668
2.53,2.2,1.31,76.43,127.53,241.48,67330.5,180.8015133391616
2.7,1.89,1.77,76.3,127.79,270.55,71730.0,208.11174293041165
2.8,1.89,1.62,76.44,127.86,292.16,66009.9,227.1248868256771
2.77,2.27,1.56,76.31,127.89,274.07,71262.2,219.9914400968354
2.55,2.07,1.22,76.07,127.76,245.11,64265.3,181.11218788673239
2.69,2.12,1.44,75.35,127.65,279.7,65648.2,211.40945812904476
2.74,2.04,1.63,76.37,127.78,289.98,75948.1,226.52239499334303
2.59,1.81,1.2,75.45,127.63,257.97,76251.3,193.02056798069805
2.8,1.77,1.66,76.05,128.23,293.45,65864.4,225.00209493409488
2.55,2.06,1.43,76.13,128.18,258.13,63177.4,187.04806907665784
2.67,1.87,1.33,75.33,128.58,259.59,73935.8,198.02904343975626
2.69,1.85,1.51,76.44,128.42,273.87,66114.3,206.77758234324915
2.84,2.08,1.45,75.73,127.87,249.59,69149.7,207.62155967883518
2.73,2.05,1.61,75.97,127.29,255.48,63242.7,200.38155185680785
2.68,1.9,1.26,75.89,128.23,255.93,70958.4,197.5791705183466
2.64,2.22,1.29,76.0,128.13,261.2,63246.5,197.86491331981506
2.7,1.72,1.31,76.51,127.9,275.77,66760.8,209.2528762966898
2.84,2.19,1.27,76.51,127.27,241.49,63006.8,204.93985471593214
2.83,2.11,1.22,75.68,128.58,262.08,72041.9,215.0724348942208
2.7,2.17,1.69,76.22,127.35,266.21,72187.5,209.37785086999543
2.78,1.81,1.61,76.02,127.59,279.03,72786.5,219.3270505719778
2.9,2.16,1.37,76.26,128.4,267.71,69796.2,224.79075619944808
2.81,2.02,1.64,75.83,128.57,266.96,72285.5,214.711730627919
2.63,2.29,1.62,75.82,127.64,250.84,73147.5,195.17265707757656
2.71,2.07,1.55,76.56,127.97,255.19,74746.6,203.90216758611825
2.76,2.01,1.53,75.59,128.17,269.64,65803.5,209.7049937689851
2.69,2.07,1.45,75.69,127.92,265.39,76930.1,207.58002195068877
2.68,2.01,1.5,75.87,127.58,246.45,73163.0,194.30374066603622
2.52,2.07,1.3,76.32,127.43,254.66,75792.7,189.58470296267296
2.63,2.03,1.31,75.86,127.74,282.96,68811.3,210.29994062397452
2.61,1.9,1.76,76.05,127.2,282.5,73384.9,208.8724052673847
2.8,2.05,1.71,75.28,127.57,264.3,74484.8,213.82784717585935
2.67,1.79,1.31,75.86,127.98,277.42,76613.0,210.8116882982946
2.56,1.8,1.59,76.18,127.46,278.09,69753.4,200.13729484140413
2.89,1.71,1.42,76.28,128.46,272.56,68873.7,221.71411275606215
2.59,2.22,1.73,75.88,127.21,280.11,64862.4,205.21817675220257
2.75,1.95,1.55,75.35,128.28,251.95,63983.9,196.48383394968755
2.7,1.89,1.66,75.81,127.47,281.72,74229.7,215.35269528124456
2.72,1.91,1.75,75.44,127.36,287.09,76770.6,220.55744955061925
2.54,1.72,1.27,75.68,127.38,249.43,75033.7,183.33643469069796
2.77,2.16,1.57,75.74,127.69,290.81,63594.2,224.35617788889192
2.72,2.08,1.31,75.62,127.69,273.89,68952.4,212.3711439109769
2.52,2.21,1.28,75.71,128.3,287.95,72083.2,206.54133154155647
2.61,2.15,1.25,75.25,128.07,248.7,66446.2,187.29363830702346
2.54,2.1,1.24,75.7,127.22,249.37,65022.9,183.2766470316309
2.66,1.83,1.5,75.72,128.12,278.36,67300.2,205.96308814947315
2.89,1.78,1.33,75.41,128.34,254.41,67503.3,209.65830202062455
2.62,2.13,1.48,75.58,128.46,245.36,71272.2,187.38246098834315
2.57,1.91,1.35,76.24,127.42,285.98,76747.4,210.4792342975012
2.52,2.25,1.4,76.41,127.81,282.38,69528.6,204.37192993543977
2.74,2.09,1.62,75.68,128.13,241.15,69881.9,194.03938822432588
2.79,2.03,1.24,76.24,127.96,253.85,68630.3,206.90156404901484
2.71,1.94,1.76,75.76,127.96,270.8,76260.7,210.07728704144063
2.56,1.76,1.67,75.56,127.87,245.87,73495.8,180.39216011069766
2.87,1.71,1.26,76.54,127.53,268.75,76107.4,223.39010251950504
2.86,2.05,1.64,75.86,127.58,247.1,69178.0,207.87634588362562
2.63,1.99,1.78,75.4,128.59,290.63,70115.4,211.4419555085019
2.53,2.22,1.34,75.71,128.3,280.99,67993.2,201.4991590405201
2.56,1.93,1.48,75.64,128.47,260.26,74353.6,190.62221797936024
2.72,1.89,1.66,75.3,128.25,262.04,71786.1,202.2308539349781
2.85,2.29,1.53,75.93,127.32,255.7,65482.8,213.82381446769762
2.83,2.1,1.26,76.58,128.24,274.38,70101.8,223.81100508746374
2.66,2.14,1.38,76.24,127.38,291.1,69501.3,220.02695795433988
2.73,1.83,1.45,75.8,128.26,291.72,71247.7,221.28888891381644
2.82,2.21,1.31,75.88,128.38,241.36,65306.4,200.88938982365676
