mse,epsilon,C,gamma
1.0964597742178823,1.7475284000076847,93.0,0.01
2.498297218937906,3.511191734215131,68.0,0.19630406500402714
2.8693459921875424,4.037017258596554,16.0,0.05857020818056667
0.4199963088201666,0.06579332246575682,75.0,2.4201282647943834
0.011817200815444925,0.016297508346206444,67.0,0.025353644939701114
0.9972063116766543,1.7475284000076847,25.0,0.05857020818056667
0.40164184205896253,0.7054802310718645,6.0,0.044306214575838825
0.2562700324092009,0.8111308307896873,8.0,0.13530477745798075
0.012631791012238314,0.03511191734215131,64.0,0.023101297000831605
0.41095841044529047,0.9326033468832199,41.0,0.01
3.4014674637642,10.0,26.0,0.34304692863149194
0.021958405107480185,0.049770235643321115,4.0,0.21544346900318845
1.6196029782178858,0.093260334688322,13.0,6.7341506577508286
3.39327612487716,4.328761281083057,60.0,5.590810182512229
3.0402216788679777,4.037017258596554,51.0,1.8307382802953698
2.9275680394316894,2.848035868435802,86.0,7.390722033525782
3.4014674637642,5.72236765935022,24.0,57.2236765935022
1.126106418345334,1.1497569953977356,2.0,0.08497534359086446
3.0763005854552974,1.5199110829529332,87.0,43.287612810830616
0.010969416843404267,0.07054802310718646,93.0,0.03678379771828634
3.4014674637642,9.326033468832199,42.0,91.11627561154896
0.09140731444032182,0.23101297000831603,16.0,0.019179102616724886
0.18699925114275978,0.7054802310718645,42.0,0.1788649529057435
0.06848289968801641,0.14174741629268056,22.0,0.5994842503189411
1.8484428540007911,0.6579332246575682,2.0,6.135907273413176
0.03426328200547289,0.04328761281083057,27.0,0.3125715849688237
1.294530890450747,1.0,73.0,3.1992671377973845
0.1675682559878759,0.7054802310718645,93.0,0.025353644939701114
2.9773287200203074,0.12328467394420659,63.0,52.140082879996896
0.07300955244654415,0.05722367659350217,49.0,0.7924828983539177
2.602752360392932,0.01747528400007684,97.0,12.91549665014884
0.37720333668438094,1.0,55.0,0.093260334688322
0.014658407421823033,0.010722672220103232,79.0,0.013219411484660288
0.22823832825829365,0.014174741629268055,21.0,1.6681005372000592
2.963698848890629,0.01747528400007684,38.0,32.745491628777316
3.0678977064524298,2.656087782946687,23.0,91.11627561154896
0.09685499700635188,0.05722367659350217,24.0,0.9545484566618342
0.1149296253921227,0.5722367659350217,50.0,0.044306214575838825
3.0465403121545176,2.656087782946687,84.0,12.91549665014884
0.1641006283915125,0.6579332246575682,95.0,0.12328467394420665
1.6111163910069162,2.1544346900318843,27.0,0.01747528400007684
3.0387616247648976,4.328761281083057,78.0,0.3125715849688237
2.9779330265379906,0.13219411484660293,29.0,62.802914418342596
1.403740187580541,0.08697490026177834,1.0,0.0774263682681127
0.5071236189191548,0.7564633275546291,70.0,1.5199110829529348
3.4014674637642,5.336699231206313,61.0,3.8535285937105312
3.4014674637642,8.111308307896872,55.0,0.05857020818056667
2.973127805676928,0.037649358067924674,20.0,100.0
0.07231066170869352,0.23101297000831603,47.0,0.49770235643321115
0.3507045972461706,0.23101297000831603,64.0,2.0092330025650478
3.4014674637642,10.0,37.0,0.040370172585965536
3.0746190622013696,2.4770763559917115,51.0,75.64633275546291
1.7630633302980268,2.31012970008316,74.0,1.0476157527896652
2.904945158503112,0.0533669923120631,76.0,20.565123083486537
2.6006426876663524,0.01,91.0,12.91549665014884
0.04412940665476824,0.21544346900318845,46.0,0.25950242113997374
0.018742224361055777,0.024770763559917114,32.0,0.1484968262254465
2.202980626508934,3.0538555088334154,89.0,0.9545484566618342
0.03956860977020775,0.2848035868435802,12.0,0.2848035868435802
0.013416988336985153,0.03511191734215131,77.0,0.015922827933410922
3.4014674637642,7.054802310718645,34.0,0.014508287784959394
3.4014674637642,6.5793322465756825,65.0,3.8535285937105312
3.4014674637642,7.56463327554629,82.0,52.140082879996896
0.5312237393626761,0.013219411484660288,51.0,2.9150530628251787
0.07631953934226413,0.07054802310718646,65.0,0.7924828983539177
2.0304547306319276,0.533669923120631,100.0,7.390722033525782
2.498394640868576,0.464158883361278,1.0,0.015922827933410922
2.972775771491551,0.02848035868435802,33.0,75.64633275546291
1.4102133522369371,0.016297508346206444,72.0,6.135907273413176
1.4765264137055827,0.9326033468832199,7.0,0.012045035402587823
2.9735736173187375,0.04328761281083057,90.0,68.92612104349702
2.0833205357049067,2.4770763559917115,45.0,2.2051307399030455
1.7112355445885346,2.4770763559917115,21.0,0.11233240329780277
3.007175783272763,0.6579332246575682,84.0,57.2236765935022
0.34384163332677714,0.464158883361278,54.0,1.5199110829529348
0.03845132947178855,0.016297508346206444,99.0,0.49770235643321115
0.10522482549753145,0.021544346900318846,24.0,1.0476157527896652
2.9365144938291783,0.010722672220103232,3.0,35.938136638046295
2.9899285681566647,0.37649358067924676,85.0,62.802914418342596
0.2443729591270694,0.37649358067924676,77.0,1.261856883066021
0.3648603131090581,0.05722367659350217,88.0,2.2051307399030455
1.0687711316950999,1.873817422860385,70.0,0.0774263682681127
0.055548933631017525,0.14174741629268056,34.0,0.4534878508128584
2.97126225214965,0.013219411484660288,56.0,47.50810162102798
2.1445910079716355,0.016297508346206444,2.0,0.015922827933410922
1.466308910641892,2.1544346900318843,96.0,0.37649358067924693
0.40959236225224505,0.32745491628777285,74.0,2.0092330025650478
3.4014674637642,9.326033468832199,81.0,2.9150530628251787
0.03000705625540004,0.07054802310718646,30.0,0.2848035868435802
0.6781894474389821,0.1519911082952934,36.0,3.1992671377973845
0.12222188720439646,0.01873817422860384,58.0,1.149756995397737
3.4014674637642,4.9770235643321135,43.0,0.6579332246575682
0.15748299350286526,0.20092330025650468,30.0,1.149756995397737
3.4014674637642,5.336699231206313,27.0,0.5462277217684343
2.950696308725679,0.014174741629268055,39.0,27.185882427329428
1.648295157966394,0.2848035868435802,2.0,0.030538555088334154
0.21295578398961382,0.3511191734215131,10.0,1.149756995397737
0.05591067882573499,0.37649358067924676,51.0,0.06428073117284322
1.1337718554148104,0.0533669923120631,3.0,5.09413801481638
0.014089512383119318,0.0533669923120631,27.0,0.10235310218990264
0.04555991633728727,0.06579332246575682,23.0,0.4534878508128584
0.017757064326150485,0.07564633275546291,26.0,0.030538555088334154
0.11300184783381913,0.06579332246575682,72.0,1.0476157527896652
3.4014674637642,6.135907273413176,3.0,0.014508287784959394
3.019476898252851,0.8111308307896873,23.0,57.2236765935022
3.4014674637642,4.9770235643321135,73.0,91.11627561154896
3.4014674637642,8.111308307896872,58.0,0.0774263682681127
2.1149765490298416,0.11497569953977356,37.0,8.902150854450392
0.027459064709473235,0.03511191734215131,69.0,0.1788649529057435
3.4014674637642,9.326033468832199,88.0,43.287612810830616
0.5291295770845619,1.072267222010323,38.0,0.014508287784959394
2.9108234080529884,0.10722672220103231,84.0,20.565123083486537
3.024770682584216,4.328761281083057,87.0,0.033516026509388425
