*time,DMM,FKN
0.0125000895932,7.0000629425,27.5067890625
0.0125501286238,7.03509044647,26.9365332031
0.0126001834869,7.07012891769,27.0129902344
0.0126500576735,7.10504055023,26.5826777344
0.0127000864595,7.14006090164,26.2540898437
0.0127501413226,7.17509889603,26.6460175781
0.0128001719713,7.21012067795,27.2351269531
0.0128501858562,7.24513053894,27.8794121094
0.0129000078887,7.28000593185,28.1509082031
0.0129500292242,7.31502103806,28.1137304687
0.013000051491,7.35003614426,27.11025
0.0130500709638,7.38504934311,26.1087402344
0.0131000876427,7.42006158829,26.2356542969
0.0131501033902,7.45507240295,26.7305820313
0.013200157322,7.4901099205,27.1720566406
0.0132500203326,7.52501440048,27.6286386719
0.0133000751957,7.56005239487,28.3198769531
0.0133501291275,7.59509038925,28.7076523437
0.0134001569822,7.63010978699,28.74034375
0.0134500013664,7.66500091553,28.7364042969
0.0135001577437,7.70011043549,28.596640625
0.0135500011966,7.73500108719,27.7177636719
0.0136000057682,7.77000379562,28.1566796875
0.0136500634253,7.80504417419,28.9554433594
0.0137000493705,7.84003448486,29.6191523437
0.0137500287965,7.875020504,29.9594550781
0.0138001097366,7.91007709503,29.9791015625
0.0138501208276,7.94508504868,29.5488574219
0.0139001552016,7.98010873795,29.1874296875
0.013950066641,8.01504707336,29.1340527344
0.0140000656247,8.0500459671,29.3298457031
0.0140500376001,8.08502674103,29.7389257812
0.0141000710428,8.12004947662,30.1249492188
0.0141500076279,8.15500545502,30.2923535156
0.0142001220956,8.19008541107,30.6640019531
0.0142500735819,8.22505187988,30.8468359375
0.0143001880497,8.26013183594,30.811875
0.0143500948325,8.2950668335,30.7180019531
0.0144001720473,8.33012008667,30.0154140625
0.0144500257447,8.36501789093,29.8584824219
0.014500156045,8.40010929108,30.2970546875
0.0145501149818,8.43508052826,30.6295488281
0.0146000403911,8.47002792358,30.9347246094
0.0146500123665,8.50500869751,31.1038613281
0.0147000793368,8.54005527496,30.9072871094
0.014750177972,8.5751247406,30.5969355469
0.0148001732305,8.61012077332,30.3082851563
0.0148500278592,8.64501953125,30.3912695312
0.0149000808597,8.68005657196,30.4252109375
0.0149501785636,8.71512508392,30.4645761719
0.0150001319125,8.75009250641,30.4509570312
0.0150500871241,8.78506088257,30.6457148437
0.0151000339538,8.82002353668,30.9506425781
0.0151501186192,8.85508346558,31.0847832031
0.0152001911774,8.89013385773,31.1956992188
0.0152500877157,8.92506122589,31.0353808594
0.0153001844883,8.96012878418,30.4310175781
0.0153501424938,8.99510002136,30.2667265625
0.0154001116753,9.03007793427,30.6242753906
0.015450050123,9.06503486633,31.2782792969
0.0155001869425,9.10013103485,31.8950878906
0.0155501337722,9.13509368896,32.1100703125
0.0156000787392,9.1700553894,32.2400078125
0.0156501568854,9.20510959625,31.9944355469
0.0157000385225,9.24002742767,31.6622285156
0.0157501734793,9.27512168884,31.4239257812
0.0158002190292,9.31015300751,31.21753125
0.0158500913531,9.34506416321,31.6926699219
0.0159000251442,9.38001728058,32.11253125
0.0159500911832,9.41506385803,32.3237421875
0.016000116244,9.45008087158,32.5858515625
0.0160501245409,9.48508739471,32.8308710937
0.0161001682281,9.5201177597,32.9499023437
0.0161500554532,9.55503845215,32.6850722656
0.0162000581622,9.59004020691,32.3136464844
0.0162501484156,9.6251039505,32.3858769531
0.016300033778,9.66002368927,32.7957421875
0.016350125894,9.69508838654,33.0038945312
0.0164001099765,9.73007774353,33.0752929687
0.0164500288665,9.76502037048,32.9548007813
0.0165001135319,9.8000793457,32.8718359375
0.0165500976145,9.8350687027,32.7387421875
0.0166000649333,9.87004566193,32.7747460937
0.016650153324,9.90510749817,32.7538789063
0.0167000796646,9.94005584717,32.6311582031
0.0167500711977,9.97504997253,32.7698476563
0.0168001297861,10.0100908279,32.8303164062
0.016850149259,10.0451040268,32.874921875
0.0169000253081,10.0800170898,32.9289765625
0.0169501006603,10.115070343,32.85475
0.0170000195503,10.15001297,32.7316015625
0.0170501116663,10.1850776672,32.639078125
0.0171001814306,10.2201271057,32.6747578125
0.0171500686556,10.2550487518,32.8196484375
0.0172000657767,10.2900457382,32.7794726563
0.0172500964254,10.3250675201,32.8480429688
0.0173001270741,10.3600893021,32.8558398437
0.0173500739038,10.3950510025,32.82740625
0.0174000207335,10.4300146103,32.6518105469
0.0174501184374,10.4650821686,32.3501992187
0.0175001751631,10.5001220703,32.2219394531
0.0175500176847,10.5350122452,32.2169082031
0.0176000837237,10.5700588226,32.4375488281
0.017650116235,10.6050815582,32.7344355469
0.0177001692355,10.6401176453,32.811015625
0.0177500937134,10.6750650406,32.610484375
0.0178000610322,10.7100419998,32.3197441406
0.0178500842303,10.7450590134,32.1409179688
0.0179000552744,10.7800388336,32.1235390625
0.0179501716048,10.815120697,32.1586074219
0.0180001165718,10.8500823975,32.0666738281
0.01805001311,10.8850097656,32.015640625
0.018100079149,10.9200553894,32.1503535156
0.0181501824409,10.9551277161,32.4974082031
0.0182001814246,10.9901266098,32.5146230469
0.0182500258088,11.0250177383,32.1605410156
0.0183000285178,11.0600204468,31.8271542969
0.0183502137661,11.0951499939,31.6111699219
0.0184000320733,11.130022049,31.5408125
0.0184500701725,11.1650495529,31.5284160156
0.0185001529753,11.2001075745,31.6805683594
0.0185501780361,11.235124588,31.952765625
0.0186001863331,11.2701311111,32.0734511719
0.0186501666903,11.3051166534,31.9107480469
0.0187000092119,11.3400068283,31.6053457031
0.0187500286847,11.3750200272,31.3749707031
0.0188000556082,11.4100379944,31.3267910156
0.0188501700759,11.4451189041,31.3304121094
0.0189001448452,11.4801015854,31.3635488281
0.0189501196146,11.5150842667,31.2758886719
0.0190000962466,11.5500669479,31.3783925781
0.0190501268953,11.5850887299,31.5942695312
0.0191001817584,11.6201267242,31.6555644531
0.0191501509398,11.6551055908,31.4867460937
0.0192001182586,11.69008255,31.1122167969
0.0192501693964,11.7251195908,30.7368964844
0.0193000696599,11.7600488663,30.6950898438
0.019350009039,11.795006752,31.1786113281
0.019400164485,11.8301143646,31.5696523438
0.0194501224905,11.8650856018,31.5579414062
0.0195000804961,11.900056839,31.374859375
0.0195500385016,11.9350261688,31.2374980469
0.0196000579745,11.9700403214,31.3474101562
0.0196500662714,12.0050468445,31.3231054688
0.019700018689,12.0400123596,31.1785078125
0.0197501797229,12.0751256943,31.104109375
0.0198001246899,12.1100873947,31.1753164063
0.0198500659317,12.1450462341,31.4139472656
0.0199000071734,12.1800041199,31.7162734375
0.0199500359595,12.2150249481,31.7652246094
0.0200000535697,12.2500371933,31.5243066406
0.0200501047075,12.2850732803,31.2848105469
0.020100094378,12.3200654984,31.2215429688
0.0201501138508,12.3550796509,31.4087792969
0.0202001780272,12.390124321,31.6106894531
0.0202501043677,12.42507267,31.7695839844
0.0203000176698,12.4600133896,31.9500292969
0.0203500147909,12.495010376,32.1071015625
0.0204000845551,12.5300598145,32.1518300781
0.020450046286,12.565032959,31.92309375
0.0205001533031,12.6001081467,31.5875351562
0.0205500423908,12.6350297928,31.5097929687
0.020600060001,12.670042038,31.632921875
0.0206500012428,12.7050008774,31.8245976562
0.0207001380622,12.7400970459,31.9331738281
0.0207500178367,12.7750120163,32.0533476562
0.0208001453429,12.8101024628,32.2491386719
0.0208501592278,12.8451108932,32.24665625
0.0209001135081,12.8800792694,32.0391015625
0.0209500286728,12.915019989,31.7629609375
0.0210001561791,12.9501094818,31.6947226563
0.0210501197726,12.98508358,31.8175058594
0.0211001206189,13.0200843811,31.994109375
0.0211501792073,13.0551252365,32.1502929688
0.0212000347674,13.0900249481,32.2056328125
0.0212500877678,13.1250619888,32.2173632813
0.0213001556695,13.1601085663,32.2193925781
0.0213500428945,13.1950302124,32.1228847656
0.0214001815766,13.2301273346,31.9699101562
0.0214501935989,13.2651348114,31.8071347656
0.0215000659227,13.3000459671,31.7729238281
0.0215500053018,13.3350038528,31.9379550781
0.0216000713408,13.3700504303,32.1186660156
0.0216501895338,13.4051322937,32.1621289062
0.0217000506818,13.4400348663,32.0514257813
0.021750099957,13.4750699997,31.9061230469
0.0218002144247,13.5101499557,31.8704316406
0.0218500718474,13.545050621,31.885875
0.0219000279903,13.5800199509,31.8922851563
0.0219501610845,13.6151123047,31.8875722656
0.0220000538975,13.6500377655,31.9364863281
0.0220501497388,13.6851043701,32.0198339844
0.0221000574529,13.7200403214,31.9933652344
0.0221500620246,13.7550439835,31.9648378906
0.0222000665963,13.7900466919,31.9102734375
0.0222500562668,13.8250389099,31.802765625
0.0223001241684,13.860086441,31.7084140625
0.0223502013832,13.8951406479,31.6414042969
0.0224001333117,13.9300937653,31.7119355469
0.0224500894547,13.9650630951,31.8965664062
0.022500095889,14.0000667572,32.0111972656
0.0225502308458,14.0351610184,31.9018847656
0.0226002410054,14.0701684952,31.6758203125
0.0226501375437,14.105096817,31.5204570313
0.0227001216263,14.1400852203,31.4905898438
0.0227500982583,14.1750679016,31.5752773437
0.0228000730276,14.2100515366,31.6607050781
0.0228501204401,14.2450838089,31.6721367188
0.0229000691324,14.2800474167,31.6597890625
0.0229501221329,14.3150854111,31.6184824219
0.023000176996,14.3501234055,31.6274042969
0.0230500344187,14.3850240707,31.60671875
0.0231002047658,14.4201440811,31.4555859375
0.0231501627713,14.4551134109,31.2816855469
0.0232001170516,14.4900827408,31.2631445312
0.0232502091676,14.5251464844,31.4030117188
0.0233000889421,14.5600614548,31.5741347656
0.0233501363546,14.5950946808,31.6406191406
0.0234001614153,14.630112648,31.554828125
0.0234501771629,14.6651239395,31.3799511719
0.0235000047833,14.700003624,31.2180605469
0.0235502123833,14.7351484299,31.1453847656
